ORF	term
HRA1	rRNA processing
NME1	rRNA processing
YAL025C	rRNA processing
YAL033W	rRNA processing
YAL035W	rRNA processing
YBL004W	rRNA processing
YBL072C	rRNA processing
YBR048W	rRNA processing
YBR142W	rRNA processing
YBR167C	rRNA processing
YBR181C	rRNA processing
YBR189W	rRNA processing
YBR247C	rRNA processing
YBR257W	rRNA processing
YBR279W	rRNA processing
YCL031C	rRNA processing
YCL054W	rRNA processing
YCL059C	rRNA processing
YCR018C	rRNA processing
YCR031C	rRNA processing
YCR035C	rRNA processing
YCR047C	rRNA processing
YCR057C	rRNA processing
YDL014W	rRNA processing
YDL031W	rRNA processing
YDL060W	rRNA processing
YDL083C	rRNA processing
YDL111C	rRNA processing
YDL136W	rRNA processing
YDL148C	rRNA processing
YDL153C	rRNA processing
YDL166C	rRNA processing
YDL191W	rRNA processing
YDL208W	rRNA processing
YDL229W	rRNA processing
YDR021W	rRNA processing
YDR025W	rRNA processing
YDR064W	rRNA processing
YDR083W	rRNA processing
YDR087C	rRNA processing
YDR117C	rRNA processing
YDR280W	rRNA processing
YDR299W	rRNA processing
YDR324C	rRNA processing
YDR339C	rRNA processing
YDR365C	rRNA processing
YDR378C	rRNA processing
YDR398W	rRNA processing
YDR412W	rRNA processing
YDR449C	rRNA processing
YDR450W	rRNA processing
YDR457W	rRNA processing
YDR478W	rRNA processing
YDR500C	rRNA processing
YEL026W	rRNA processing
YER006W	rRNA processing
YER074W	rRNA processing
YER082C	rRNA processing
YER102W	rRNA processing
YER125W	rRNA processing
YER126C	rRNA processing
YER127W	rRNA processing
YER133W	rRNA processing
YFL002C	rRNA processing
YFR001W	rRNA processing
YGL029W	rRNA processing
YGL030W	rRNA processing
YGL076C	rRNA processing
YGL078C	rRNA processing
YGL120C	rRNA processing
YGL136C	rRNA processing
YGL171W	rRNA processing
YGL173C	rRNA processing
YGL246C	rRNA processing
YGR030C	rRNA processing
YGR063C	rRNA processing
YGR081C	rRNA processing
YGR090W	rRNA processing
YGR095C	rRNA processing
YGR103W	rRNA processing
YGR118W	rRNA processing
YGR128C	rRNA processing
YGR145W	rRNA processing
YGR158C	rRNA processing
YGR159C	rRNA processing
YGR195W	rRNA processing
YGR214W	rRNA processing
YGR251W	rRNA processing
YGR271C-A	rRNA processing
YGR276C	rRNA processing
YGR285C	rRNA processing
YHL015W	rRNA processing
YHL025W	rRNA processing
YHL033C	rRNA processing
YHR021C	rRNA processing
YHR034C	rRNA processing
YHR062C	rRNA processing
YHR064C	rRNA processing
YHR065C	rRNA processing
YHR066W	rRNA processing
YHR069C	rRNA processing
YHR072W-A	rRNA processing
YHR081W	rRNA processing
YHR085W	rRNA processing
YHR088W	rRNA processing
YHR148W	rRNA processing
YHR169W	rRNA processing
YHR196W	rRNA processing
YHR197W	rRNA processing
YIL019W	rRNA processing
YIL069C	rRNA processing
YIL091C	rRNA processing
YIL096C	rRNA processing
YJL010C	rRNA processing
YJL033W	rRNA processing
YJL050W	rRNA processing
YJL069C	rRNA processing
YJL109C	rRNA processing
YJL136C	rRNA processing
YJL177W	rRNA processing
YJL191W	rRNA processing
YJR002W	rRNA processing
YJR055W	rRNA processing
YKL009W	rRNA processing
YKL014C	rRNA processing
YKL021C	rRNA processing
YKL078W	rRNA processing
YKL099C	rRNA processing
YKL156W	rRNA processing
YKL172W	rRNA processing
YKL180W	rRNA processing
YKR024C	rRNA processing
YKR057W	rRNA processing
YKR060W	rRNA processing
YKR063C	rRNA processing
YKR081C	rRNA processing
YLL008W	rRNA processing
YLL011W	rRNA processing
YLL035W	rRNA processing
YLL045C	rRNA processing
YLR002C	rRNA processing
YLR048W	rRNA processing
YLR051C	rRNA processing
YLR059C	rRNA processing
YLR063W	rRNA processing
YLR068W	rRNA processing
YLR106C	rRNA processing
YLR107W	rRNA processing
YLR129W	rRNA processing
YLR145W	rRNA processing
YLR165C	rRNA processing
YLR167W	rRNA processing
YLR175W	rRNA processing
YLR185W	rRNA processing
YLR186W	rRNA processing
YLR192C	rRNA processing
YLR196W	rRNA processing
YLR197W	rRNA processing
YLR222C	rRNA processing
YLR276C	rRNA processing
YLR293C	rRNA processing
YLR409C	rRNA processing
YLR430W	rRNA processing
YLR435W	rRNA processing
YLR441C	rRNA processing
YML010W	rRNA processing
YML026C	rRNA processing
YML063W	rRNA processing
YML093W	rRNA processing
YMR014W	rRNA processing
YMR049C	rRNA processing
YMR093W	rRNA processing
YMR128W	rRNA processing
YMR143W	rRNA processing
YMR229C	rRNA processing
YMR239C	rRNA processing
YMR285C	rRNA processing
YMR290C	rRNA processing
YNL002C	rRNA processing
YNL022C	rRNA processing
YNL061W	rRNA processing
YNL075W	rRNA processing
YNL112W	rRNA processing
YNL147W	rRNA processing
YNL182C	rRNA processing
YNL207W	rRNA processing
YNL209W	rRNA processing
YNL221C	rRNA processing
YNL224C	rRNA processing
YNL227C	rRNA processing
YNL232W	rRNA processing
YNL282W	rRNA processing
YNL308C	rRNA processing
YNR024W	rRNA processing
YNR038W	rRNA processing
YNR046W	rRNA processing
YNR054C	rRNA processing
YOL010W	rRNA processing
YOL021C	rRNA processing
YOL022C	rRNA processing
YOL041C	rRNA processing
YOL080C	rRNA processing
YOL142W	rRNA processing
YOL144W	rRNA processing
YOR001W	rRNA processing
YOR004W	rRNA processing
YOR006C	rRNA processing
YOR048C	rRNA processing
YOR056C	rRNA processing
YOR078W	rRNA processing
YOR119C	rRNA processing
YOR145C	rRNA processing
YOR201C	rRNA processing
YOR205C	rRNA processing
YOR243C	rRNA processing
YOR287C	rRNA processing
YOR294W	rRNA processing
YOR308C	rRNA processing
YOR310C	rRNA processing
YPL012W	rRNA processing
YPL043W	rRNA processing
YPL081W	rRNA processing
YPL082C	rRNA processing
YPL090C	rRNA processing
YPL093W	rRNA processing
YPL126W	rRNA processing
YPL146C	rRNA processing
YPL198W	rRNA processing
YPL211W	rRNA processing
YPL217C	rRNA processing
YPL235W	rRNA processing
YPL266W	rRNA processing
YPR016C	rRNA processing
YPR112C	rRNA processing
YPR132W	rRNA processing
YPR137W	rRNA processing
YPR143W	rRNA processing
YPR144C	rRNA processing
snR10	rRNA processing
snR11	rRNA processing
snR128	rRNA processing
snR13	rRNA processing
snR161	rRNA processing
snR17a	rRNA processing
snR17b	rRNA processing
snR18	rRNA processing
snR189	rRNA processing
snR191	rRNA processing
snR24	rRNA processing
snR3	rRNA processing
snR30	rRNA processing
snR31	rRNA processing
snR32	rRNA processing
snR33	rRNA processing
snR34	rRNA processing
snR35	rRNA processing
snR36	rRNA processing
snR37	rRNA processing
snR38	rRNA processing
snR39	rRNA processing
snR39B	rRNA processing
snR40	rRNA processing
snR41	rRNA processing
snR42	rRNA processing
snR43	rRNA processing
snR44	rRNA processing
snR46	rRNA processing
snR47	rRNA processing
snR48	rRNA processing
snR49	rRNA processing
snR5	rRNA processing
snR50	rRNA processing
snR51	rRNA processing
snR52	rRNA processing
snR53	rRNA processing
snR54	rRNA processing
snR55	rRNA processing
snR56	rRNA processing
snR57	rRNA processing
snR58	rRNA processing
snR59	rRNA processing
snR60	rRNA processing
snR61	rRNA processing
snR62	rRNA processing
snR63	rRNA processing
snR64	rRNA processing
snR65	rRNA processing
snR66	rRNA processing
snR67	rRNA processing
snR68	rRNA processing
snR69	rRNA processing
snR70	rRNA processing
snR71	rRNA processing
snR72	rRNA processing
snR73	rRNA processing
snR74	rRNA processing
snR75	rRNA processing
snR76	rRNA processing
snR77	rRNA processing
snR78	rRNA processing
snR79	rRNA processing
snR8	rRNA processing
snR80	rRNA processing
snR81	rRNA processing
snR82	rRNA processing
snR83	rRNA processing
snR84	rRNA processing
snR85	rRNA processing
snR86	rRNA processing
snR87	rRNA processing
snR9	rRNA processing
HRA1	ribosomal small subunit biogenesis
YAL026C	ribosomal small subunit biogenesis
YAL035W	ribosomal small subunit biogenesis
YBL004W	ribosomal small subunit biogenesis
YBL072C	ribosomal small subunit biogenesis
YBR048W	ribosomal small subunit biogenesis
YBR181C	ribosomal small subunit biogenesis
YBR189W	ribosomal small subunit biogenesis
YBR247C	ribosomal small subunit biogenesis
YCL031C	ribosomal small subunit biogenesis
YCL059C	ribosomal small subunit biogenesis
YCR031C	ribosomal small subunit biogenesis
YCR047C	ribosomal small subunit biogenesis
YCR057C	ribosomal small subunit biogenesis
YDL060W	ribosomal small subunit biogenesis
YDL083C	ribosomal small subunit biogenesis
YDL148C	ribosomal small subunit biogenesis
YDL153C	ribosomal small subunit biogenesis
YDL166C	ribosomal small subunit biogenesis
YDL213C	ribosomal small subunit biogenesis
YDR021W	ribosomal small subunit biogenesis
YDR025W	ribosomal small subunit biogenesis
YDR064W	ribosomal small subunit biogenesis
YDR159W	ribosomal small subunit biogenesis
YDR299W	ribosomal small subunit biogenesis
YDR324C	ribosomal small subunit biogenesis
YDR339C	ribosomal small subunit biogenesis
YDR378C	ribosomal small subunit biogenesis
YDR398W	ribosomal small subunit biogenesis
YDR447C	ribosomal small subunit biogenesis
YDR449C	ribosomal small subunit biogenesis
YDR450W	ribosomal small subunit biogenesis
YDR457W	ribosomal small subunit biogenesis
YEL026W	ribosomal small subunit biogenesis
YER074W	ribosomal small subunit biogenesis
YER082C	ribosomal small subunit biogenesis
YER102W	ribosomal small subunit biogenesis
YER127W	ribosomal small subunit biogenesis
YFR001W	ribosomal small subunit biogenesis
YGL120C	ribosomal small subunit biogenesis
YGL171W	ribosomal small subunit biogenesis
YGR081C	ribosomal small subunit biogenesis
YGR090W	ribosomal small subunit biogenesis
YGR103W	ribosomal small subunit biogenesis
YGR118W	ribosomal small subunit biogenesis
YGR128C	ribosomal small subunit biogenesis
YGR145W	ribosomal small subunit biogenesis
YGR159C	ribosomal small subunit biogenesis
YGR214W	ribosomal small subunit biogenesis
YGR251W	ribosomal small subunit biogenesis
YGR271C-A	ribosomal small subunit biogenesis
YHL015W	ribosomal small subunit biogenesis
YHR021C	ribosomal small subunit biogenesis
YHR065C	ribosomal small subunit biogenesis
YHR148W	ribosomal small subunit biogenesis
YHR169W	ribosomal small subunit biogenesis
YHR196W	ribosomal small subunit biogenesis
YIL019W	ribosomal small subunit biogenesis
YIL069C	ribosomal small subunit biogenesis
YIL091C	ribosomal small subunit biogenesis
YJL010C	ribosomal small subunit biogenesis
YJL069C	ribosomal small subunit biogenesis
YJL109C	ribosomal small subunit biogenesis
YJL136C	ribosomal small subunit biogenesis
YJL191W	ribosomal small subunit biogenesis
YJR002W	ribosomal small subunit biogenesis
YKL078W	ribosomal small subunit biogenesis
YKL082C	ribosomal small subunit biogenesis
YKL099C	ribosomal small subunit biogenesis
YKL143W	ribosomal small subunit biogenesis
YKL156W	ribosomal small subunit biogenesis
YKR057W	ribosomal small subunit biogenesis
YKR060W	ribosomal small subunit biogenesis
YLL011W	ribosomal small subunit biogenesis
YLR048W	ribosomal small subunit biogenesis
YLR051C	ribosomal small subunit biogenesis
YLR068W	ribosomal small subunit biogenesis
YLR129W	ribosomal small subunit biogenesis
YLR167W	ribosomal small subunit biogenesis
YLR186W	ribosomal small subunit biogenesis
YLR192C	ribosomal small subunit biogenesis
YLR222C	ribosomal small subunit biogenesis
YLR336C	ribosomal small subunit biogenesis
YLR409C	ribosomal small subunit biogenesis
YLR435W	ribosomal small subunit biogenesis
YLR441C	ribosomal small subunit biogenesis
YML024W	ribosomal small subunit biogenesis
YML026C	ribosomal small subunit biogenesis
YML063W	ribosomal small subunit biogenesis
YML093W	ribosomal small subunit biogenesis
YMR014W	ribosomal small subunit biogenesis
YMR093W	ribosomal small subunit biogenesis
YMR128W	ribosomal small subunit biogenesis
YMR143W	ribosomal small subunit biogenesis
YMR229C	ribosomal small subunit biogenesis
YMR269W	ribosomal small subunit biogenesis
YMR290C	ribosomal small subunit biogenesis
YNL075W	ribosomal small subunit biogenesis
YNL132W	ribosomal small subunit biogenesis
YNL147W	ribosomal small subunit biogenesis
YNL207W	ribosomal small subunit biogenesis
YNL224C	ribosomal small subunit biogenesis
YNL302C	ribosomal small subunit biogenesis
YNL308C	ribosomal small subunit biogenesis
YNR046W	ribosomal small subunit biogenesis
YNR054C	ribosomal small subunit biogenesis
YOL010W	ribosomal small subunit biogenesis
YOL022C	ribosomal small subunit biogenesis
YOL121C	ribosomal small subunit biogenesis
YOR004W	ribosomal small subunit biogenesis
YOR006C	ribosomal small subunit biogenesis
YOR056C	ribosomal small subunit biogenesis
YOR078W	ribosomal small subunit biogenesis
YOR119C	ribosomal small subunit biogenesis
YOR145C	ribosomal small subunit biogenesis
YOR205C	ribosomal small subunit biogenesis
YOR287C	ribosomal small subunit biogenesis
YOR294W	ribosomal small subunit biogenesis
YOR310C	ribosomal small subunit biogenesis
YPL012W	ribosomal small subunit biogenesis
YPL081W	ribosomal small subunit biogenesis
YPL090C	ribosomal small subunit biogenesis
YPL126W	ribosomal small subunit biogenesis
YPL204W	ribosomal small subunit biogenesis
YPL217C	ribosomal small subunit biogenesis
YPL226W	ribosomal small subunit biogenesis
YPL239W	ribosomal small subunit biogenesis
YPL266W	ribosomal small subunit biogenesis
YPR112C	ribosomal small subunit biogenesis
YPR132W	ribosomal small subunit biogenesis
YPR144C	ribosomal small subunit biogenesis
snR10	ribosomal small subunit biogenesis
snR128	ribosomal small subunit biogenesis
snR17a	ribosomal small subunit biogenesis
snR17b	ribosomal small subunit biogenesis
ICR1	transcription from RNA polymerase II promoter
PWR1	transcription from RNA polymerase II promoter
YAL013W	transcription from RNA polymerase II promoter
YAL019W	transcription from RNA polymerase II promoter
YAL021C	transcription from RNA polymerase II promoter
YAL043C	transcription from RNA polymerase II promoter
YAL051W	transcription from RNA polymerase II promoter
YAL056W	transcription from RNA polymerase II promoter
YAL068C	transcription from RNA polymerase II promoter
YBL005W	transcription from RNA polymerase II promoter
YBL006C	transcription from RNA polymerase II promoter
YBL008W	transcription from RNA polymerase II promoter
YBL021C	transcription from RNA polymerase II promoter
YBL054W	transcription from RNA polymerase II promoter
YBL093C	transcription from RNA polymerase II promoter
YBL103C	transcription from RNA polymerase II promoter
YBR009C	transcription from RNA polymerase II promoter
YBR034C	transcription from RNA polymerase II promoter
YBR049C	transcription from RNA polymerase II promoter
YBR050C	transcription from RNA polymerase II promoter
YBR066C	transcription from RNA polymerase II promoter
YBR083W	transcription from RNA polymerase II promoter
YBR089C-A	transcription from RNA polymerase II promoter
YBR095C	transcription from RNA polymerase II promoter
YBR097W	transcription from RNA polymerase II promoter
YBR111W-A	transcription from RNA polymerase II promoter
YBR112C	transcription from RNA polymerase II promoter
YBR135W	transcription from RNA polymerase II promoter
YBR154C	transcription from RNA polymerase II promoter
YBR160W	transcription from RNA polymerase II promoter
YBR182C	transcription from RNA polymerase II promoter
YBR193C	transcription from RNA polymerase II promoter
YBR198C	transcription from RNA polymerase II promoter
YBR215W	transcription from RNA polymerase II promoter
YBR239C	transcription from RNA polymerase II promoter
YBR240C	transcription from RNA polymerase II promoter
YBR245C	transcription from RNA polymerase II promoter
YBR253W	transcription from RNA polymerase II promoter
YBR279W	transcription from RNA polymerase II promoter
YBR289W	transcription from RNA polymerase II promoter
YCL010C	transcription from RNA polymerase II promoter
YCL055W	transcription from RNA polymerase II promoter
YCL058W-A	transcription from RNA polymerase II promoter
YCL066W	transcription from RNA polymerase II promoter
YCL067C	transcription from RNA polymerase II promoter
YCR020W-B	transcription from RNA polymerase II promoter
YCR039C	transcription from RNA polymerase II promoter
YCR040W	transcription from RNA polymerase II promoter
YCR042C	transcription from RNA polymerase II promoter
YCR052W	transcription from RNA polymerase II promoter
YCR065W	transcription from RNA polymerase II promoter
YCR081W	transcription from RNA polymerase II promoter
YCR084C	transcription from RNA polymerase II promoter
YCR093W	transcription from RNA polymerase II promoter
YDL005C	transcription from RNA polymerase II promoter
YDL020C	transcription from RNA polymerase II promoter
YDL074C	transcription from RNA polymerase II promoter
YDL080C	transcription from RNA polymerase II promoter
YDL084W	transcription from RNA polymerase II promoter
YDL106C	transcription from RNA polymerase II promoter
YDL108W	transcription from RNA polymerase II promoter
YDL116W	transcription from RNA polymerase II promoter
YDL140C	transcription from RNA polymerase II promoter
YDL151C	transcription from RNA polymerase II promoter
YDL165W	transcription from RNA polymerase II promoter
YDL170W	transcription from RNA polymerase II promoter
YDL214C	transcription from RNA polymerase II promoter
YDR005C	transcription from RNA polymerase II promoter
YDR009W	transcription from RNA polymerase II promoter
YDR028C	transcription from RNA polymerase II promoter
YDR034C	transcription from RNA polymerase II promoter
YDR043C	transcription from RNA polymerase II promoter
YDR073W	transcription from RNA polymerase II promoter
YDR079C-A	transcription from RNA polymerase II promoter
YDR081C	transcription from RNA polymerase II promoter
YDR096W	transcription from RNA polymerase II promoter
YDR123C	transcription from RNA polymerase II promoter
YDR138W	transcription from RNA polymerase II promoter
YDR145W	transcription from RNA polymerase II promoter
YDR167W	transcription from RNA polymerase II promoter
YDR169C	transcription from RNA polymerase II promoter
YDR173C	transcription from RNA polymerase II promoter
YDR174W	transcription from RNA polymerase II promoter
YDR183W	transcription from RNA polymerase II promoter
YDR190C	transcription from RNA polymerase II promoter
YDR195W	transcription from RNA polymerase II promoter
YDR207C	transcription from RNA polymerase II promoter
YDR213W	transcription from RNA polymerase II promoter
YDR216W	transcription from RNA polymerase II promoter
YDR217C	transcription from RNA polymerase II promoter
YDR223W	transcription from RNA polymerase II promoter
YDR224C	transcription from RNA polymerase II promoter
YDR225W	transcription from RNA polymerase II promoter
YDR228C	transcription from RNA polymerase II promoter
YDR253C	transcription from RNA polymerase II promoter
YDR259C	transcription from RNA polymerase II promoter
YDR295C	transcription from RNA polymerase II promoter
YDR301W	transcription from RNA polymerase II promoter
YDR303C	transcription from RNA polymerase II promoter
YDR308C	transcription from RNA polymerase II promoter
YDR310C	transcription from RNA polymerase II promoter
YDR311W	transcription from RNA polymerase II promoter
YDR392W	transcription from RNA polymerase II promoter
YDR394W	transcription from RNA polymerase II promoter
YDR397C	transcription from RNA polymerase II promoter
YDR404C	transcription from RNA polymerase II promoter
YDR421W	transcription from RNA polymerase II promoter
YDR423C	transcription from RNA polymerase II promoter
YDR432W	transcription from RNA polymerase II promoter
YDR443C	transcription from RNA polymerase II promoter
YDR448W	transcription from RNA polymerase II promoter
YDR451C	transcription from RNA polymerase II promoter
YDR460W	transcription from RNA polymerase II promoter
YDR463W	transcription from RNA polymerase II promoter
YDR464W	transcription from RNA polymerase II promoter
YDR480W	transcription from RNA polymerase II promoter
YDR512C	transcription from RNA polymerase II promoter
YDR516C	transcription from RNA polymerase II promoter
YDR527W	transcription from RNA polymerase II promoter
YEL009C	transcription from RNA polymerase II promoter
YEL037C	transcription from RNA polymerase II promoter
YER022W	transcription from RNA polymerase II promoter
YER028C	transcription from RNA polymerase II promoter
YER040W	transcription from RNA polymerase II promoter
YER045C	transcription from RNA polymerase II promoter
YER051W	transcription from RNA polymerase II promoter
YER068W	transcription from RNA polymerase II promoter
YER088C	transcription from RNA polymerase II promoter
YER111C	transcription from RNA polymerase II promoter
YER125W	transcription from RNA polymerase II promoter
YER133W	transcription from RNA polymerase II promoter
YER139C	transcription from RNA polymerase II promoter
YER148W	transcription from RNA polymerase II promoter
YER159C	transcription from RNA polymerase II promoter
YER161C	transcription from RNA polymerase II promoter
YER162C	transcription from RNA polymerase II promoter
YER164W	transcription from RNA polymerase II promoter
YER169W	transcription from RNA polymerase II promoter
YER171W	transcription from RNA polymerase II promoter
YER177W	transcription from RNA polymerase II promoter
YER184C	transcription from RNA polymerase II promoter
YFL021W	transcription from RNA polymerase II promoter
YFL024C	transcription from RNA polymerase II promoter
YFL028C	transcription from RNA polymerase II promoter
YFL031W	transcription from RNA polymerase II promoter
YFL049W	transcription from RNA polymerase II promoter
YFL052W	transcription from RNA polymerase II promoter
YFR034C	transcription from RNA polymerase II promoter
YFR037C	transcription from RNA polymerase II promoter
YGL013C	transcription from RNA polymerase II promoter
YGL025C	transcription from RNA polymerase II promoter
YGL035C	transcription from RNA polymerase II promoter
YGL043W	transcription from RNA polymerase II promoter
YGL048C	transcription from RNA polymerase II promoter
YGL058W	transcription from RNA polymerase II promoter
YGL066W	transcription from RNA polymerase II promoter
YGL070C	transcription from RNA polymerase II promoter
YGL071W	transcription from RNA polymerase II promoter
YGL073W	transcription from RNA polymerase II promoter
YGL112C	transcription from RNA polymerase II promoter
YGL115W	transcription from RNA polymerase II promoter
YGL127C	transcription from RNA polymerase II promoter
YGL130W	transcription from RNA polymerase II promoter
YGL131C	transcription from RNA polymerase II promoter
YGL133W	transcription from RNA polymerase II promoter
YGL150C	transcription from RNA polymerase II promoter
YGL151W	transcription from RNA polymerase II promoter
YGL162W	transcription from RNA polymerase II promoter
YGL166W	transcription from RNA polymerase II promoter
YGL173C	transcription from RNA polymerase II promoter
YGL181W	transcription from RNA polymerase II promoter
YGL207W	transcription from RNA polymerase II promoter
YGL209W	transcription from RNA polymerase II promoter
YGL220W	transcription from RNA polymerase II promoter
YGL237C	transcription from RNA polymerase II promoter
YGL244W	transcription from RNA polymerase II promoter
YGL246C	transcription from RNA polymerase II promoter
YGL252C	transcription from RNA polymerase II promoter
YGL254W	transcription from RNA polymerase II promoter
YGR005C	transcription from RNA polymerase II promoter
YGR044C	transcription from RNA polymerase II promoter
YGR056W	transcription from RNA polymerase II promoter
YGR063C	transcription from RNA polymerase II promoter
YGR104C	transcription from RNA polymerase II promoter
YGR116W	transcription from RNA polymerase II promoter
YGR122W	transcription from RNA polymerase II promoter
YGR134W	transcription from RNA polymerase II promoter
YGR156W	transcription from RNA polymerase II promoter
YGR163W	transcription from RNA polymerase II promoter
YGR186W	transcription from RNA polymerase II promoter
YGR200C	transcription from RNA polymerase II promoter
YGR252W	transcription from RNA polymerase II promoter
YGR258C	transcription from RNA polymerase II promoter
YGR262C	transcription from RNA polymerase II promoter
YGR270W	transcription from RNA polymerase II promoter
YGR274C	transcription from RNA polymerase II promoter
YGR275W	transcription from RNA polymerase II promoter
YHL007C	transcription from RNA polymerase II promoter
YHL009C	transcription from RNA polymerase II promoter
YHL020C	transcription from RNA polymerase II promoter
YHL025W	transcription from RNA polymerase II promoter
