Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
FUN12	YAL035W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2003-04-23		Lee JH, et al. (2002) PMID:12471154
FUN12	YAL035W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2008-12-09		Shin BS, et al. (2009) PMID:19029250
FUN12	YAL035W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
GEM1	YAL048C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR020860, IPR021181	InterPro	2016-11-26		DDB, et al. (2001)
GEM1	YAL048C	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2014-08-15		Frederick RL, et al. (2004) PMID:15479738
TEF2	YBR118W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al. (2011)
ARL1	YBR164C	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-05-29		Lee FJ, et al. (1997) PMID:9388248
ARL1	YBR164C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2002-05-29		Lee FJ, et al. (1997) PMID:9388248
FZO1	YBR179C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2011-01-07		Amiott EA, et al. (2009) PMID:19812251
FZO1	YBR179C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR027094, IPR027091	InterPro	2016-11-26		DDB, et al. (2001)
YPT10	YBR264C	GTPase activity	GO:0003924		molecular function	manually curated	ISS with YPT1	SGD	2005-06-22		Lazar T, et al. (1997) PMID:9433126
CDC10	YCR002C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2004-12-10		Versele M and Thorner J (2004) PMID:14993234
RHB1	YCR027C	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2001-10-23		Urano J, et al. (2000) PMID:10753927
TSR1	YDL060W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-04-28		Gaudet P, et al (2010)
ARF2	YDL137W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-03-29		Poon PP, et al. (1996) PMID:8816753
ARF1	YDL192W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-03-29		Poon PP, et al. (1996) PMID:8816753
SUP35	YDR172W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
SUP35	YDR172W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
MRX8	YDR336W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2016-04-21		Gaudet P, et al (2010)
EFT2	YDR385W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al. (2011)
NUG1	YER006W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-05-08		Bassler J, et al. (2006) PMID:16803892
GPA2	YER020W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-12-03		Peeters T, et al. (2006) PMID:16924114
GPA2	YER020W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2007-12-03		Lorenz MC and Heitman J (1997) PMID:9384580
GPA2	YER020W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR002975, IPR001019	InterPro	2016-11-26		DDB, et al. (2001)
GCD11	YER025W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
GCD11	YER025W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
YPT31	YER031C	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-06-24		Jedd G, et al. (1997) PMID:9151665
YPT31	YER031C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
SEC4	YFL005W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-08-15		Kabcenell AK, et al. (1990) PMID:2111819
TUB2	YFL037W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR003008	InterPro	2016-11-26		DDB, et al. (2001)
YPT1	YFL038C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-09-15		Richardson CJ, et al. (1998) PMID:9447979
YPT1	YFL038C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-05-27		Wagner P, et al. (1987) PMID:3311726
LSG1	YGL099W	GTPase activity	GO:0003924		molecular function	manually curated	ISS with Q9H089	SGD	2013-05-24		Reynaud EG, et al. (2005) PMID:16209721
LSG1	YGL099W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2012-04-09		Gaudet P, et al (2010)
YPT32	YGL210W	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-06-24		Jedd G, et al. (1997) PMID:9151665
YPT32	YGL210W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
RSR1	YGR152C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2002-12-01		Holden JL, et al. (1991) PMID:1910037
GTR2	YGR163W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2015-10-06		Peli-Gulli MP, et al. (2015) PMID:26387955
GPA1	YHR005C	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2006-07-19		Kurjan J, et al. (1991) PMID:1900495
GPA1	YHR005C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2006-07-19		Cismowski MJ, et al. (2001) PMID:11394869
GPA1	YHR005C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR002975, IPR001019	InterPro	2016-11-26		DDB, et al. (2001)
CDC12	YHR107C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2004-12-10		Versele M and Thorner J (2004) PMID:14993234
MTG2	YHR168W	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2005-01-04		Datta K, et al. (2005) PMID:15591131
MTG2	YHR168W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR014100	InterPro	2016-11-26		DDB, et al. (2001)
EST3	YIL009C-A	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-12-02		Shubernetskaya O, et al. (2011) PMID:20884318
EST3	YIL009C-A	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2010-12-02		Shubernetskaya O, et al. (2011) PMID:20884318
RHO3	YIL118W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-06-07		Doignon F, et al. (1999) PMID:10526184
MEF2	YJL102W	GTPase activity	GO:0003924		molecular function	manually curated	ISS with Q969S9	SGD	2014-03-25		Tsuboi M, et al. (2009) PMID:19716793
MEF2	YJL102W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
MEF2	YJL102W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
CDC6	YJL194W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-08-10		Zwerschke W, et al. (1994) PMID:8083240
NPA3	YJR072C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2014-12-09		Staresincic L, et al. (2011) PMID:21844196
NPA3	YJR072C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR030230	InterPro	2016-11-26		DDB, et al. (2001)
