ORF	Gene_uniq	cluster	gene_name
YAL053W	YAL053W	27	FLC2
YAR014C	YAR014C	27	BUD14
YAR018C	YAR018C	27	KIN3
YBL082C	YBL082C	27	ALG3
YBR114W	YBR114W	27	RAD16
YBR132C	YBR132C	27	AGP2
YBR150C	YBR150C	27	TBS1
YBR162W-A	YBR162W-A	27	YSY6
YDR099W	YDR099W	27	BMH2
YGL203C	YGL203C	27	KEX1
YGR086C	YGR086C	27	PIL1
YGR227W	YGR227W	27	DIE2
YIL002C	YIL002C	27	INP51
YJR117W	YJR117W	27	STE24
YML055W	YML055W	27	SPC2
YMR022W	YMR022W	27	UBC7
YMR214W	YMR214W	27	SCJ1
YMR264W	YMR264W	27	CUE1
YNL008C	YNL008C	27	ASI3
YNL053W	YNL053W	27	MSG5
YNL219C	YNL219C	27	ALG9
YNR030W	YNR030W	27	ALG12
YOL013C	YOL013C	27	HRD1
YOL032W	YOL032W	27	OPI10
YOR002W	YOR002W	27	ALG6
YOR067C	YOR067C	27	ALG8
YOR154W	YOR154W	27	SLP1
YOR208W	YOR208W	27	PTP2
YPL116W	YPL116W	27	HOS3
YPL227C	YPL227C	27	ALG5
YBR098W	YBR098W	26	MMS4
YCR066W	YCR066W	26	RAD18
YDL059C	YDL059C	26	RAD59
YDR004W	YDR004W	26	RAD57
YDR076W	YDR076W	26	RAD55
YDR221W	YDR221W	26	GTB1
YDR363W	YDR363W	26	ESC2
YDR369C	YDR369C	26	XRS2
YDR386W	YDR386W	26	MUS81
YER095W	YER095W	26	RAD51
YGL163C	YGL163C	26	RAD54
YGL175C	YGL175C	26	SAE2
YGR223C	YGR223C	26	HSV2
YHR154W	YHR154W	26	RTT107
YIL149C	YIL149C	26	MLP2
YJL047C	YJL047C	26	RTT101
YJL092W	YJL092W	26	SRS2
YJL115W	YJL115W	26	ASF1
YKR095W	YKR095W	26	MLP1
YLL002W	YLL002W	26	RTT109
YLR032W	YLR032W	26	RAD5
YML017W	YML017W	26	PSP2
YML032C	YML032C	26	RAD52
YML107C	YML107C	26	PML39
YMR190C	YMR190C	26	SGS1
YMR219W	YMR219W	26	ESC1
YMR224C	YMR224C	26	MRE11
YOL045W	YOL045W	26	PSK2
YOR080W	YOR080W	26	DIA2
YOR322C	YOR322C	26	LDB19
YPR084W	YPR084W	26	YPR084W
YPR164W	YPR164W	26	MMS1
YBL007C	YBL007C	25	SLA1
YBL017C	YBL017C	25	PEP1
YBL036C	YBL036C	25	YBL036C
YBL047C	YBL047C	25	EDE1
YBR015C	YBR015C	25	MNN2
YBR069C	YBR069C	25	TAT1
YBR162C	YBR162C	25	TOS1
YDL176W	YDL176W	25	YDL176W
YDL213C	YDL213C	25	NOP6
YDR313C	YDR313C	25	PIB1
YDR372C	YDR372C	25	VPS74
YDR414C	YDR414C	25	ERD1
YDR505C	YDR505C	25	PSP1
YGL228W	YGL228W	25	SHE10
YGR229C	YGR229C	25	SMI1
YHR078W	YHR078W	25	YHR078W
YIL110W	YIL110W	25	HPM1
YIR002C	YIR002C	25	MPH1
YJL128C	YJL128C	25	PBS2
YJL214W	YJL214W	25	HXT8
YJR118C	YJR118C	25	ILM1
YKR042W	YKR042W	25	UTH1
YLR006C	YLR006C	25	SSK1
YLR110C	YLR110C	25	CCW12
YLR113W	YLR113W	25	HOG1
YMR016C	YMR016C	25	SOK2
YMR039C	YMR039C	25	SUB1
YMR070W	YMR070W	25	MOT3
YNL307C	YNL307C	25	MCK1
YNR031C	YNR031C	25	SSK2
YOR035C	YOR035C	25	SHE4
YOR113W	YOR113W	25	AZF1
YPR017C	YPR017C	25	DSS4
YAL010C	YAL010C	24	MDM10
YAL048C	YAL048C	24	GEM1
YBR164C	YBR164C	24	ARL1
YCL010C	YCL010C	24	SGF29
YCR031C	YCR031C	24	RPS14A
YCR067C	YCR067C	24	SED4
YDL099W	YDL099W	24	BUG1
YDL100C	YDL100C	24	GET3
YDL115C	YDL115C	24	IWR1
YDR153C	YDR153C	24	ENT5
YDR219C	YDR219C	24	MFB1
YDR266C	YDR266C	24	HEL2
YDR306C	YDR306C	24	YDR306C
YHR004C	YHR004C	24	NEM1
YJL004C	YJL004C	24	SYS1
YJL123C	YJL123C	24	MTC1
YJR032W	YJR032W	24	CPR7
YJR060W	YJR060W	24	CBF1
YJR119C	YJR119C	24	JHD2
YJR125C	YJR125C	24	ENT3
YKL005C	YKL005C	24	BYE1
YKR030W	YKR030W	24	GMH1
YLR114C	YLR114C	24	AVL9
YMR274C	YMR274C	24	RCE1
YMR292W	YMR292W	24	GOT1
YOL009C	YOL009C	24	MDM12
YOL111C	YOL111C	24	MDY2
YOR042W	YOR042W	24	CUE5
YOR115C	YOR115C	24	TRS33
YPL037C	YPL037C	24	EGD1
YPL051W	YPL051W	24	ARL3
YPL248C	YPL248C	24	GAL4
YPR051W	YPR051W	24	MAK3
YBL051C	YBL051C	23	PIN4
YBL085W	YBL085W	23	BOI1
YBL101C	YBL101C	23	ECM21
YBR126C	YBR126C	23	TPS1
YDL192W	YDL192W	23	ARF1
YFL003C	YFL003C	23	MSH4
YFR040W	YFR040W	23	SAP155
YGL066W	YGL066W	23	SGF73
YGL253W	YGL253W	23	HXK2
YGR054W	YGR054W	23	YGR054W
YGR109C	2_YGR109C	23	CLB6
YHR204W	YHR204W	23	MNL1
YIL131C	YIL131C	23	FKH1
YIR033W	YIR033W	23	MGA2
YJL138C	YJL138C	23	TIF2
YKL041W	YKL041W	23	VPS24
