ORF	Gene_uniq	cluster	gene_name
YAL055W	YAL055W	19	PEX22
YBR228W	YBR228W	19	SLX1
YDL065C	YDL065C	19	PEX19
YDL076C	YDL076C	19	RXT3
YDR244W	YDR244W	19	PEX5
YDR265W	YDR265W	19	PEX10
YDR329C	YDR329C	19	PEX3
YER161C	YER161C	19	SPT2
YER167W	YER167W	19	BCK2
YFR040W	YFR040W	19	SAP155
YGL153W	YGL153W	19	PEX14
YGR077C	YGR077C	19	PEX8
YGR133W	YGR133W	19	PEX4
YHR134W	YHR134W	19	WSS1
YJL210W	YJL210W	19	PEX2
YKL160W	YKL160W	19	ELF1
YKL197C	YKL197C	19	PEX1
YKR048C	YKR048C	19	NAP1
YLR450W	YLR450W	19	HMG2
YML095C	YML095C	19	RAD10
YML117W	YML117W	19	NAB6
YMR026C	YMR026C	19	PEX12
YMR035W	YMR035W	19	IMP2
YMR039C	YMR039C	19	SUB1
YMR067C	YMR067C	19	UBX4
YMR070W	YMR070W	19	MOT3
YMR153W	YMR153W	19	NUP53
YMR161W	YMR161W	19	HLJ1
YMR202W	YMR202W	19	ERG2
YMR227C	YMR227C_TSQ638	19	TAF7
YOL044W	YOL044W	19	PEX15
YAR014C	YAR014C	18	BUD14
YBL027W	YBL027W	18	RPL19B
YBR015C	YBR015C	18	MNN2
YBR119W	YBR119W	18	MUD1
YCR034W	YCR034W	18	ELO2
YDR310C	YDR310C	18	SUM1
YDR372C	YDR372C	18	VPS74
YGL081W	YGL081W	18	YGL081W
YGL110C	YGL110C	18	CUE3
YGL196W	YGL196W	18	DSD1
YGL255W	YGL255W	18	ZRT1
YHL020C	YHL020C	18	OPI1
YHR086W	YHR086W	18	NAM8
YJL123C	YJL123C	18	MTC1
YKL073W	YKL073W	18	LHS1
YKL074C	YKL074C	18	MUD2
YKR030W	YKR030W	18	GMH1
YLR110C	YLR110C	18	CCW12
YLR150W	YLR150W	18	STM1
YML012W	YML012W	18	ERV25
YML017W	YML017W	18	PSP2
YML055W	YML055W	18	SPC2
YMR003W	YMR003W	18	AIM34
YMR016C	YMR016C	18	SOK2
YMR274C	YMR274C	18	RCE1
YMR292W	YMR292W	18	GOT1
YNR004W	YNR004W	18	SWM2
YOR308C	YOR308C	18	SNU66
YPL041C	YPL041C	18	MRX11
YPL157W	YPL157W	18	TGS1
YPR051W	YPR051W	18	MAK3
YPR120C	1_YPR120C	18	CLB5
YBL103C	YBL103C	17	RTG3
YBR057C	YBR057C	17	MUM2
YBR065C	YBR065C	17	ECM2
YCR020C-A	YCR020C-A	17	MAK31
YDL033C	YDL033C	17	SLM3
YDL080C	YDL080C	17	THI3
YDL142C	YDL142C	17	CRD1
YDL175C	YDL175C	17	AIR2
YDL188C	YDL188C	17	PPH22
YDR393W	YDR393W	17	SHE9
YER139C	YER139C	17	RTR1
YGL252C	YGL252C	17	RTG2
YGR101W	YGR101W	17	PCP1
YGR181W	YGR181W	17	TIM13
YGR231C	YGR231C	17	PHB2
YHL025W	YHL025W	17	SNF6
YHR004C	YHR004C	17	NEM1
YKL053C-A	YKL053C-A	17	MDM35
YKR065C	YKR065C	17	PAM17
YKR067W	YKR067W	17	GPT2
YLR131C	YLR131C	17	ACE2
YML035C	YML035C	17	AMD1
YML047C	YML047C	17	PRM6
YML112W	YML112W	17	CTK3
YMR216C	YMR216C	17	SKY1
YNL076W	YNL076W	17	MKS1
YOL064C	YOL064C	17	MET22
YOL067C	YOL067C	17	RTG1
YOR078W	YOR078W	17	BUD21
YOR115C	YOR115C	17	TRS33
YPL106C	YPL106C	17	SSE1
YPR032W	YPR032W	17	SRO7
YPR069C	YPR069C	17	SPE3
YAR002W	YAR002W	16	NUP60
YAR003W	YAR003W	16	SWD1
YBR058C	YBR058C	16	UBP14
YBR175W	YBR175W	16	SWD3
YCL061C	YCL061C	16	MRC1
YCR053W	YCR053W	16	THR4
YDL074C	YDL074C	16	BRE1
YDR363W	YDR363W	16	ESC2
YDR469W	YDR469W	16	SDC1
YER052C	YER052C	16	HOM3
YFR010W	YFR010W	16	UBP6
YGL244W	YGL244W	16	RTF1
YGR208W	YGR208W	16	SER2
YHR031C	YHR031C	16	RRM3
YJR043C	YJR043C	16	POL32
YJR139C	YJR139C	16	HOM6
YKL113C	YKL113C	16	RAD27
YKL213C	YKL213C	16	DOA1
YKR082W	YKR082W	16	NUP133
YLR015W	YLR015W	16	BRE2
YLR418C	YLR418C	16	CDC73
YML028W	YML028W	16	TSA1
YML103C	YML103C	16	NUP188
YMR048W	YMR048W	16	CSM3
YMR190C	YMR190C	16	SGS1
YNL215W	YNL215W	16	IES2
YNL273W	YNL273W	16	TOF1
YNR010W	YNR010W	16	CSE2
YOR080W	YOR080W	16	DIA2
YOR123C	YOR123C	16	LEO1
YOR144C	YOR144C	16	ELG1
YOR184W	YOR184W	16	SER1
YPL055C	YPL055C	16	LGE1
YPR070W	YPR070W	16	MED1
YAL051W	YAL051W	15	OAF1
YBL088C	YBL088C	15	TEL1
YBR114W	YBR114W	15	RAD16
YBR150C	YBR150C	15	TBS1
YCR014C	YCR014C	15	POL4
YCR082W	YCR082W	15	AHC2
YDL059C	YDL059C	15	RAD59
YDL133C-A	YDL133C-A	15	RPL41B
YDL170W	YDL170W	15	UGA3
