#gene sets based on correlations with the two clusters of mutants (T34 and D79 vs R108 and R112)
ORF	gene_name	query_uniq	gene_set
YMR198W	CIK1	cik1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YGL093W	SPC105	spc105-15	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YGR113W	DAM1	dam1-19	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YPR141C	KAR3	kar3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YBR211C	AME1	ame1-4	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YFL009W	CDC4	cdc4-2	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YFL009W	CDC4	cdc4-3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YAL040C	CLN3	cln3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YGR179C	OKP1	okp1-5	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YPL233W	NSL1	nsl1-5	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YJR112W	NNF1	nnf1-77	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YDR201W	SPC19	spc19-5001	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YMR117C	SPC24	spc24-10	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YDR180W	SCC2	scc2-4	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YFL008W	SMC1	smc1-2	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YFL008W	SMC1	smc1-259	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YIR010W	DSN1	dsn1-7	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YIR010W	DSN1	dsn1-8	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YDL003W	MCD1	mcd1-73	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YDR014W	RAD61	rad61	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YJL074C	SMC3	smc3-1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YJL074C	SMC3	smc3-42	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YPR135W	CTF4	ctf4	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YDL028C	MPS1	mps1-417	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YIL144W	NDC80	tid3-1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YGL086W	MAD1	mad1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
YJL030W	MAD2	mad2	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint
