GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
protein maturation	16	2	82	52	0.024390243902439	0.0384615384615385	0.000469043151969981
cytokinesis	16	3	82	88	0.0365853658536585	0.0340909090909091	0.000415742793791574
invasive growth in response to glucose limitation	16	2	82	59	0.024390243902439	0.0338983050847458	0.000413393964448119
endocytosis	16	3	82	98	0.0365853658536585	0.0306122448979592	0.00037332005973121
endosomal transport	16	3	82	102	0.0365853658536585	0.0294117647058824	0.000358680057388809
telomere organization	16	2	82	78	0.024390243902439	0.0256410256410256	0.000312695434646654
vitamin metabolic process	16	1	82	43	0.0121951219512195	0.0232558139534884	0.000283607487237663
nucleobase-containing compound transport	16	3	82	138	0.0365853658536585	0.0217391304347826	0.000265111346765642
sporulation	16	3	82	138	0.0365853658536585	0.0217391304347826	0.000265111346765642
cell wall organization or biogenesis	16	4	82	198	0.0487804878048781	0.0202020202020202	0.000246366100024637
proteolysis involved in cellular protein catabolic process	16	4	82	216	0.0487804878048781	0.0185185185185185	0.00022583559168925
protein modification by small protein conjugation or removal	16	3	82	170	0.0365853658536585	0.0176470588235294	0.000215208034433286
RNA catabolic process	16	2	82	132	0.024390243902439	0.0151515151515152	0.000184774575018477
lipid transport	16	1	82	68	0.0121951219512195	0.0147058823529412	0.000179340028694405
pseudohyphal growth	16	1	82	74	0.0121951219512195	0.0135135135135135	0.00016479894528675
DNA repair	16	3	82	246	0.0365853658536585	0.0121951219512195	0.000148720999405116
vacuole organization	16	1	82	84	0.0121951219512195	0.0119047619047619	0.000145180023228804
DNA recombination	16	2	82	179	0.024390243902439	0.0111731843575419	0.000136258345823682
response to osmotic stress	16	1	82	92	0.0121951219512195	0.0108695652173913	0.000132555673382821
protein phosphorylation	16	2	82	197	0.024390243902439	0.0101522842639594	0.000123808344682432
cellular response to DNA damage stimulus	16	3	82	299	0.0365853658536585	0.0100334448160535	0.000122359083122604
protein targeting	16	3	82	309	0.0365853658536585	0.00970873786407767	0.00011839924224485
regulation of translation	16	1	82	105	0.0121951219512195	0.00952380952380952	0.000116144018583043
chromatin organization	16	3	82	318	0.0365853658536585	0.00943396226415094	0.000115048320294524
tRNA processing	16	1	82	109	0.0121951219512195	0.00917431192660551	0.000111881852763482
mitotic cell cycle	16	3	82	328	0.0365853658536585	0.00914634146341463	0.000111540749553837
regulation of protein modification process	16	1	82	110	0.0121951219512195	0.00909090909090909	0.000110864745011086
histone modification	16	1	82	114	0.0121951219512195	0.0087719298245614	0.000106974753958066
regulation of organelle organization	16	2	82	239	0.024390243902439	0.00836820083682008	0.000102051229717318
transcription from RNA polymerase II promoter	16	4	82	480	0.0487804878048781	0.00833333333333333	0.000101626016260163
conjugation	16	1	82	124	0.0121951219512195	0.00806451612903226	9.83477576711251e-05
organelle assembly	16	1	82	131	0.0121951219512195	0.00763358778625954	9.30925339787749e-05
meiotic cell cycle	16	2	82	287	0.024390243902439	0.00696864111498258	8.49834282314949e-05
organelle fission	16	2	82	296	0.024390243902439	0.00675675675675676	8.23994726433751e-05
peptidyl-amino acid modification	16	1	82	151	0.0121951219512195	0.00662251655629139	8.07623970279438e-05
