GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
DNA replication	22	11	155	139	0.0709677419354839	0.079136690647482	0.000510559294499884
transcription from RNA polymerase III promoter	22	3	155	41	0.0193548387096774	0.0731707317073171	0.0004720692368214
cellular response to DNA damage stimulus	22	20	155	299	0.129032258064516	0.0668896321070234	0.000431546013593699
regulation of DNA metabolic process	22	7	155	106	0.0451612903225806	0.0660377358490566	0.000426049908703591
DNA repair	22	15	155	246	0.0967741935483871	0.0609756097560976	0.0003933910306845
transcription from RNA polymerase I promoter	22	4	155	68	0.0258064516129032	0.0588235294117647	0.000379506641366224
DNA recombination	22	8	155	179	0.0516129032258065	0.0446927374301676	0.000288340241484952
chromosome segregation	22	8	155	198	0.0516129032258065	0.0404040404040404	0.000260671228413164
RNA catabolic process	22	5	155	132	0.032258064516129	0.0378787878787879	0.000244379276637341
organelle fission	22	10	155	296	0.0645161290322581	0.0337837837837838	0.00021795989537925
peptidyl-amino acid modification	22	5	155	151	0.032258064516129	0.033112582781457	0.00021362956633198
regulation of cell cycle	22	6	155	213	0.0387096774193548	0.028169014084507	0.000181735574738755
mitotic cell cycle	22	9	155	328	0.0580645161290323	0.0274390243902439	0.000177025963808025
telomere organization	22	2	155	78	0.0129032258064516	0.0256410256410256	0.000165425971877585
DNA-templated transcription, termination	22	1	155	43	0.00645161290322581	0.0232558139534884	0.000150037509377344
response to osmotic stress	22	2	155	92	0.0129032258064516	0.0217391304347826	0.000140252454417952
protein dephosphorylation	22	1	155	49	0.00645161290322581	0.0204081632653061	0.000131665569453588
protein phosphorylation	22	4	155	197	0.0258064516129032	0.0203045685279188	0.000130997216309153
protein alkylation	22	1	155	50	0.00645161290322581	0.02	0.000129032258064516
response to oxidative stress	22	2	155	103	0.0129032258064516	0.0194174757281553	0.000125274036955841
regulation of protein modification process	22	2	155	110	0.0129032258064516	0.0181818181818182	0.000117302052785924
histone modification	22	2	155	114	0.0129032258064516	0.0175438596491228	0.000113186191284663
meiotic cell cycle	22	5	155	287	0.032258064516129	0.0174216027874564	0.000112397437338429
cell budding	22	1	155	58	0.00645161290322581	0.0172413793103448	0.000111234705228031
protein acylation	22	1	155	66	0.00645161290322581	0.0151515151515152	9.77517106549365e-05
DNA-templated transcription, initiation	22	1	155	71	0.00645161290322581	0.0140845070422535	9.08677873693776e-05
response to heat	22	1	155	71	0.00645161290322581	0.0140845070422535	9.08677873693776e-05
