GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
DNA-templated transcription, elongation	15	5	99	96	0.0505050505050505	0.0520833333333333	0.000526094276094276
protein acylation	15	2	99	66	0.0202020202020202	0.0303030303030303	0.000306091215182124
DNA replication	15	4	99	139	0.0404040404040404	0.0287769784172662	0.000290676549669355
chromatin organization	15	9	99	318	0.0909090909090909	0.0283018867924528	0.00028587764436821
Golgi vesicle transport	15	5	99	190	0.0505050505050505	0.0263157894736842	0.00026581605528974
regulation of transport	15	2	99	84	0.0202020202020202	0.0238095238095238	0.000240500240500241
RNA catabolic process	15	3	99	132	0.0303030303030303	0.0227272727272727	0.000229568411386593
protein dephosphorylation	15	1	99	49	0.0101010101010101	0.0204081632653061	0.00020614306328592
DNA repair	15	5	99	246	0.0505050505050505	0.0203252032520325	0.000205305083353864
peptidyl-amino acid modification	15	3	99	151	0.0303030303030303	0.0198675496688742	0.000200682319887618
protein modification by small protein conjugation or removal	15	3	99	170	0.0303030303030303	0.0176470588235294	0.00017825311942959
histone modification	15	2	99	114	0.0202020202020202	0.0175438596491228	0.000177210703526493
invasive growth in response to glucose limitation	15	1	99	59	0.0101010101010101	0.0169491525423729	0.000171203561034069
cellular response to DNA damage stimulus	15	5	99	299	0.0505050505050505	0.0167224080267559	0.000168913212391473
organelle inheritance	15	1	99	60	0.0101010101010101	0.0166666666666667	0.000168350168350168
protein targeting	15	5	99	309	0.0505050505050505	0.0161812297734628	0.000163446765388513
cellular ion homeostasis	15	2	99	125	0.0202020202020202	0.016	0.000161616161616162
nucleus organization	15	1	99	66	0.0101010101010101	0.0151515151515152	0.000153045607591062
response to heat	15	1	99	71	0.0101010101010101	0.0140845070422535	0.000142267747901551
pseudohyphal growth	15	1	99	74	0.0101010101010101	0.0135135135135135	0.000136500136500137
membrane fusion	15	1	99	75	0.0101010101010101	0.0133333333333333	0.000134680134680135
transcription from RNA polymerase II promoter	15	6	99	480	0.0606060606060606	0.0125	0.000126262626262626
vacuole organization	15	1	99	84	0.0101010101010101	0.0119047619047619	0.00012025012025012
DNA recombination	15	2	99	179	0.0202020202020202	0.0111731843575419	0.000112860448055979
response to osmotic stress	15	1	99	92	0.0101010101010101	0.0108695652173913	0.000109793588054458
protein folding	15	1	99	95	0.0101010101010101	0.0105263157894737	0.000106326422115896
regulation of translation	15	1	99	105	0.0101010101010101	0.00952380952380952	9.62000962000962e-05
regulation of DNA metabolic process	15	1	99	106	0.0101010101010101	0.00943396226415094	9.52925481227368e-05
proteolysis involved in cellular protein catabolic process	15	2	99	216	0.0202020202020202	0.00925925925925926	9.35278713056491e-05
mitotic cell cycle	15	3	99	328	0.0303030303030303	0.00914634146341463	9.23872875092387e-05
regulation of protein modification process	15	1	99	110	0.0101010101010101	0.00909090909090909	9.18273645546373e-05
cytoskeleton organization	15	2	99	232	0.0202020202020202	0.00862068965517241	8.70776732845698e-05
regulation of organelle organization	15	2	99	239	0.0202020202020202	0.00836820083682008	8.45272811800008e-05
organelle assembly	15	1	99	131	0.0101010101010101	0.00763358778625954	7.7106947335955e-05
lipid metabolic process	15	2	99	287	0.0202020202020202	0.00696864111498258	7.03903142927533e-05
meiotic cell cycle	15	2	99	287	0.0202020202020202	0.00696864111498258	7.03903142927533e-05
organelle fission	15	2	99	296	0.0202020202020202	0.00675675675675676	6.82500682500683e-05
ion transport	15	1	99	162	0.0101010101010101	0.00617283950617284	6.23519142037661e-05
nuclear transport	15	1	99	176	0.0101010101010101	0.00568181818181818	5.73921028466483e-05
protein phosphorylation	15	1	99	197	0.0101010101010101	0.0050761421319797	5.12741629492899e-05
carbohydrate metabolic process	15	1	99	200	0.0101010101010101	0.005	5.05050505050505e-05
mitochondrion organization	15	2	99	425	0.0202020202020202	0.00470588235294118	4.7534165181224e-05
regulation of cell cycle	15	1	99	213	0.0101010101010101	0.00469483568075117	4.74225826338502e-05
amino acid transport	14	2	74	40	0.027027027027027	0.05	0.000675675675675676
protein alkylation	14	2	74	50	0.027027027027027	0.04	0.000540540540540541
protein modification by small protein conjugation or removal	14	4	74	170	0.0540540540540541	0.0235294117647059	0.000317965023847377
DNA-templated transcription, termination	14	1	74	43	0.0135135135135135	0.0232558139534884	0.000314267756128221
DNA-templated transcription, elongation	14	2	74	96	0.027027027027027	0.0208333333333333	0.000281531531531532
protein dephosphorylation	14	1	74	49	0.0135135135135135	0.0204081632653061	0.000275785990071704
protein phosphorylation	14	4	74	197	0.0540540540540541	0.0203045685279188	0.000274386061188092
endosomal transport	14	2	74	102	0.027027027027027	0.0196078431372549	0.000264970853206147
translational initiation	14	1	74	61	0.0135135135135135	0.0163934426229508	0.000221533008418254
protein glycosylation	14	1	74	62	0.0135135135135135	0.0161290322580645	0.00021795989537925
Golgi vesicle transport	14	3	74	190	0.0405405405405405	0.0157894736842105	0.000213371266002845
transcription from RNA polymerase I promoter	14	1	74	68	0.0135135135135135	0.0147058823529412	0.000198728139904611
proteolysis involved in cellular protein catabolic process	14	3	74	216	0.0405405405405405	0.0138888888888889	0.000187687687687688
pseudohyphal growth	14	1	74	74	0.0135135135135135	0.0135135135135135	0.000182615047479912
peptidyl-amino acid modification	14	2	74	151	0.027027027027027	0.0132450331125828	0.000178986933953821
telomere organization	14	1	74	78	0.0135135135135135	0.0128205128205128	0.000173250173250173
chromatin organization	14	4	74	318	0.0540540540540541	0.0125786163522013	0.000169981302056774
regulation of organelle organization	14	3	74	239	0.0405405405405405	0.0125523012552301	0.000169625692638245
vesicle organization	14	1	74	81	0.0135135135135135	0.0123456790123457	0.000166833500166834
cellular respiration	14	1	74	84	0.0135135135135135	0.0119047619047619	0.000160875160875161
response to osmotic stress	14	1	74	92	0.0135135135135135	0.0108695652173913	0.000146886016451234
transcription from RNA polymerase II promoter	14	5	74	480	0.0675675675675676	0.0104166666666667	0.000140765765765766
regulation of DNA metabolic process	14	1	74	106	0.0135135135135135	0.00943396226415094	0.00012748597654258
regulation of cell cycle	14	2	74	213	0.027027027027027	0.00938967136150235	0.000126887450831113
regulation of protein modification process	14	1	74	110	0.0135135135135135	0.00909090909090909	0.000122850122850123
histone modification	14	1	74	114	0.0135135135135135	0.0087719298245614	0.000118539592223803
DNA repair	14	2	74	246	0.027027027027027	0.00813008130081301	0.0001098659635245
RNA catabolic process	14	1	74	132	0.0135135135135135	0.00757575757575758	0.000102375102375102
nucleobase-containing compound transport	14	1	74	138	0.0135135135135135	0.0072463768115942	9.79240109674892e-05
meiotic cell cycle	14	2	74	287	0.027027027027027	0.00696864111498258	9.41708258781429e-05
organelle fission	14	2	74	296	0.027027027027027	0.00675675675675676	9.13075237399562e-05
cellular response to DNA damage stimulus	14	2	74	299	0.027027027027027	0.00668896321070234	9.03913947392208e-05
cellular amino acid metabolic process	14	1	74	153	0.0135135135135135	0.0065359477124183	8.83236177353824e-05
generation of precursor metabolites and energy	14	1	74	155	0.0135135135135135	0.00645161290322581	8.71839581517001e-05
ion transport	14	1	74	162	0.0135135135135135	0.00617283950617284	8.34167500834168e-05
mitotic cell cycle	14	2	74	328	0.027027027027027	0.00609756097560976	8.23994726433751e-05
nuclear transport	14	1	74	176	0.0135135135135135	0.00568181818181818	7.67813267813268e-05
cofactor metabolic process	14	1	74	178	0.0135135135135135	0.00561797752808989	7.59186152444579e-05
DNA recombination	14	1	74	179	0.0135135135135135	0.00558659217877095	7.54944889023101e-05
cell wall organization or biogenesis	14	1	74	198	0.0135135135135135	0.00505050505050505	6.82500682500683e-05
nucleobase-containing small molecule metabolic process	14	1	74	198	0.0135135135135135	0.00505050505050505	6.82500682500683e-05
carbohydrate metabolic process	14	1	74	200	0.0135135135135135	0.005	6.75675675675676e-05
cytoskeleton organization	14	1	74	232	0.0135135135135135	0.00431034482758621	5.82479030754893e-05
lipid metabolic process	14	1	74	287	0.0135135135135135	0.00348432055749129	4.70854129390715e-05
transposition	13	1	93	21	0.010752688172043	0.0476190476190476	0.000512032770097286
protein acylation	13	3	93	66	0.032258064516129	0.0454545454545455	0.000488758553274682
pseudohyphal growth	13	3	93	74	0.032258064516129	0.0405405405405405	0.0004359197907585
histone modification	13	4	93	114	0.043010752688172	0.0350877192982456	0.000377287304282211
response to osmotic stress	13	3	93	92	0.032258064516129	0.0326086956521739	0.000350631136044881
tRNA processing	13	3	93	109	0.032258064516129	0.0275229357798165	0.000295945546019532
peptidyl-amino acid modification	13	4	93	151	0.043010752688172	0.0264900662251656	0.000284839421775974
DNA-templated transcription, termination	13	1	93	43	0.010752688172043	0.0232558139534884	0.000250062515628907
protein folding	13	2	93	95	0.021505376344086	0.0210526315789474	0.000226372382569327
protein dephosphorylation	13	1	93	49	0.010752688172043	0.0204081632653061	0.00021944261575598
chromatin organization	13	6	93	318	0.0645161290322581	0.0188679245283019	0.000202880908906472
regulation of protein modification process	13	2	93	110	0.021505376344086	0.0181818181818182	0.000195503421309873
RNA modification	13	3	93	172	0.032258064516129	0.0174418604651163	0.00018754688672168
sporulation	13	2	93	138	0.021505376344086	0.0144927536231884	0.000155836060464391
regulation of cell cycle	13	3	93	213	0.032258064516129	0.0140845070422535	0.000151446312282296
RNA splicing	13	2	93	144	0.021505376344086	0.0138888888888889	0.000149342891278375
regulation of organelle organization	13	3	93	239	0.032258064516129	0.0125523012552301	0.000134970981239034
transcription from RNA polymerase II promoter	13	6	93	480	0.0645161290322581	0.0125	0.000134408602150538
ion transport	13	2	93	162	0.021505376344086	0.0123456790123457	0.000132749236691889
mitotic cell cycle	13	4	93	328	0.043010752688172	0.0121951219512195	0.0001311303435615
regulation of transport	13	1	93	84	0.010752688172043	0.0119047619047619	0.000128008192524322
mRNA processing	13	2	93	170	0.021505376344086	0.0117647058823529	0.000126502213788741
DNA-templated transcription, elongation	13	1	93	96	0.010752688172043	0.0104166666666667	0.000112007168458781
