GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
carbohydrate transport	16	1	82	33	0.0121951219512195	0.0303030303030303	0.000369549150036955
protein acylation	16	2	82	66	0.024390243902439	0.0303030303030303	0.000369549150036955
pseudohyphal growth	16	2	82	74	0.024390243902439	0.027027027027027	0.0003295978905735
histone modification	16	3	82	114	0.0365853658536585	0.0263157894736842	0.000320924261874198
amino acid transport	16	1	82	40	0.0121951219512195	0.025	0.000304878048780488
transcription from RNA polymerase III promoter	16	1	82	41	0.0121951219512195	0.024390243902439	0.000297441998810232
DNA-templated transcription, termination	16	1	82	43	0.0121951219512195	0.0232558139534884	0.000283607487237663
DNA-templated transcription, elongation	16	2	82	96	0.024390243902439	0.0208333333333333	0.000254065040650407
protein dephosphorylation	16	1	82	49	0.0121951219512195	0.0204081632653061	0.000248880039820806
chromatin organization	16	6	82	318	0.0731707317073171	0.0188679245283019	0.000230096640589047
response to starvation	16	1	82	56	0.0121951219512195	0.0178571428571429	0.000217770034843206
lipid metabolic process	16	5	82	287	0.0609756097560976	0.0174216027874564	0.000212458570578737
invasive growth in response to glucose limitation	16	1	82	59	0.0121951219512195	0.0169491525423729	0.00020669698222406
protein glycosylation	16	1	82	62	0.0121951219512195	0.0161290322580645	0.00019669551534225
monocarboxylic acid metabolic process	16	2	82	127	0.024390243902439	0.015748031496063	0.000192049164586134
nucleus organization	16	1	82	66	0.0121951219512195	0.0151515151515152	0.000184774575018477
nucleobase-containing compound transport	16	2	82	138	0.024390243902439	0.0144927536231884	0.000176740897843761
DNA-templated transcription, initiation	16	1	82	71	0.0121951219512195	0.0140845070422535	0.000171762281003092
regulation of cell cycle	16	3	82	213	0.0365853658536585	0.0140845070422535	0.000171762281003092
proteolysis involved in cellular protein catabolic process	16	3	82	216	0.0365853658536585	0.0138888888888889	0.000169376693766938
peptidyl-amino acid modification	16	2	82	151	0.024390243902439	0.0132450331125828	0.000161524794055888
regulation of organelle organization	16	3	82	239	0.0365853658536585	0.0125523012552301	0.000153076844575977
DNA repair	16	3	82	246	0.0365853658536585	0.0121951219512195	0.000148720999405116
vacuole organization	16	1	82	84	0.0121951219512195	0.0119047619047619	0.000145180023228804
protein modification by small protein conjugation or removal	16	2	82	170	0.024390243902439	0.0117647058823529	0.000143472022955524
nuclear transport	16	2	82	176	0.024390243902439	0.0113636363636364	0.000138580931263858
Golgi vesicle transport	16	2	82	190	0.024390243902439	0.0105263157894737	0.000128369704749679
transcription from RNA polymerase II promoter	16	5	82	480	0.0609756097560976	0.0104166666666667	0.000127032520325203
protein phosphorylation	16	2	82	197	0.024390243902439	0.0101522842639594	0.000123808344682432
cellular response to DNA damage stimulus	16	3	82	299	0.0365853658536585	0.0100334448160535	0.000122359083122604
carbohydrate metabolic process	16	2	82	200	0.024390243902439	0.01	0.000121951219512195
endosomal transport	16	1	82	102	0.0121951219512195	0.00980392156862745	0.000119560019129603
response to oxidative stress	16	1	82	103	0.0121951219512195	0.00970873786407767	0.00011839924224485
regulation of DNA metabolic process	16	1	82	106	0.0121951219512195	0.00943396226415094	0.000115048320294524
regulation of protein modification process	16	1	82	110	0.0121951219512195	0.00909090909090909	0.000110864745011086
organelle assembly	16	1	82	131	0.0121951219512195	0.00763358778625954	9.30925339787749e-05
