ORF	Gene_uniq	cluster	gene_name
YBL072C	YBL072C	20	RPS8A
YBL079W	YBL079W	20	NUP170
YBR094W	YBR094W	20	PBY1
YDL088C	YDL088C	20	ASM4
YDR101C	YDR101C	20	ARX1
YDR192C	YDR192C	20	NUP42
YGR081C	YGR081C	20	SLX9
YGR092W	YGR092W	20	DBF2
YGR134W	YGR134W	20	CAF130
YHR034C	YHR034C	20	PIH1
YHR207C	YHR207C	20	SET5
YJR074W	YJR074W	20	MOG1
YKL068W	YKL068W	20	NUP100
YLR018C	YLR018C	20	POM34
YLR044C	YLR044C	20	PDC1
YLR150W	YLR150W	20	STM1
YLR182W	YLR182W	20	SWI6
YLR401C	YLR401C	20	DUS3
YML066C	YML066C	20	SMA2
YML103C	YML103C	20	NUP188
YMR116C	YMR116C	20	ASC1
YMR129W	YMR129W	20	POM152
YMR153W	YMR153W	20	NUP53
YMR176W	YMR176W	20	ECM5
YNL270C	YNL270C	20	ALP1
YOL017W	YOL017W	20	ESC8
YOR034C	YOR034C	20	AKR2
YOR101W	YOR101W	20	RAS1
YPL189W	YPL189W	20	GUP2
YPR129W	YPR129W	20	SCD6
YBL046W	YBL046W	19	PSY4
YBR058C	YBR058C	19	UBP14
YBR238C	YBR238C	19	YBR238C
YCR027C	YCR027C	19	RHB1
YCR028C-A	YCR028C-A	19	RIM1
YDL033C	YDL033C	19	SLM3
YDR395W	YDR395W	19	SXM1
YFL036W	YFL036W	19	RPO41
YFR048W	YFR048W	19	RMD8
YGL035C	YGL035C	19	MIG1
YGR184C	YGR184C	19	UBR1
YGR231C	YGR231C	19	PHB2
YHR189W	YHR189W	19	PTH1
YKL053C-A	YKL053C-A	19	MDM35
YKL090W	YKL090W	19	CUE2
YKL201C	YKL201C	19	MNN4
YKL208W	YKL208W	19	CBT1
YKR024C	YKR024C	19	DBP7
YLR091W	YLR091W	19	GEP5
YLR096W	YLR096W	19	KIN2
YLR114C	YLR114C	19	AVL9
YLR421C	YLR421C	19	RPN13
YMR119W	YMR119W	19	ASI1
YNL070W	YNL070W	19	TOM7
YNL246W	YNL246W	19	VPS75
YNR041C	YNR041C	19	COQ2
YOR322C	YOR322C	19	LDB19
YOR330C	YOR330C	19	MIP1
YPR024W	YPR024W	19	YME1
YPR052C	YPR052C	19	NHP6A
YPR084W	YPR084W	19	YPR084W
YDR005C	YDR005C	18	MAF1
YDR156W	YDR156W	18	RPA14
YDR221W	YDR221W	18	GTB1
YDR257C	YDR257C	18	RKM4
YDR383C	YDR383C	18	NKP1
YEL047C	YEL047C	18	FRD1
YER068W	YER068W	18	MOT2
YGL031C	YGL031C	18	RPL24A
YGL203C	YGL203C	18	KEX1
YGL213C	YGL213C	18	SKI8
YGR123C	YGR123C	18	PPT1
YHR158C	YHR158C	18	KEL1
YIL036W	YIL036W	18	CST6
YIL047C	YIL047C	18	SYG1
YJL148W	YJL148W	18	RPA34
YKL211C	YKL211C	18	TRP3
YKR042W	YKR042W	18	UTH1
YKR098C	YKR098C	18	UBP11
YLL039C	YLL039C	18	UBI4
YLR079W	YLR079W	18	SIC1
YLR083C	YLR083C	18	EMP70
YLR110C	YLR110C	18	CCW12
YLR180W	YLR180W	18	SAM1
YML016C	YML016C	18	PPZ1
YMR202W	YMR202W	18	ERG2
YMR205C	YMR205C	18	PFK2
YNL001W	YNL001W	18	DOM34
YNL224C	YNL224C	18	SQS1
YNL299W	YNL299W	18	TRF5
YOR076C	YOR076C	18	SKI7
YPR009W	YPR009W	18	SUT2
YPR066W	YPR066W	18	UBA3
YPR189W	YPR189W	18	SKI3
YAL013W	YAL013W	17	DEP1
YAR003W	YAR003W	17	SWD1
YBR095C	YBR095C	17	RXT2
YBR175W	YBR175W	17	SWD3
YCL032W	YCL032W	17	STE50
YCR053W	YCR053W	17	THR4
YDL074C	YDL074C	17	BRE1
YDR207C	YDR207C	17	UME6
YDR289C	YDR289C	17	RTT103
YDR392W	YDR392W	17	SPT3
YDR448W	YDR448W	17	ADA2
YDR469W	YDR469W	17	SDC1
YER052C	YER052C	17	HOM3
YER174C	YER174C	17	GRX4
YGL058W	YGL058W	17	RAD6
YGL244W	YGL244W	17	RTF1
YGR208W	YGR208W	17	SER2
YGR252W	YGR252W	17	GCN5
YIL040W	YIL040W	17	APQ12
YIL084C	YIL084C	17	SDS3
YJR139C	YJR139C	17	HOM6
YKR077W	YKR077W	17	MSA2
YLR015W	YLR015W	17	BRE2
YLR055C	YLR055C	17	SPT8
YLR418C	YLR418C	17	CDC73
YML112W	YML112W	17	CTK3
YMR263W	YMR263W	17	SAP30
YNL097C	YNL097C	17	PHO23
YOL004W	YOL004W	17	SIN3
YOR184W	YOR184W	17	SER1
YOR297C	YOR297C	17	TIM18
YPL055C	YPL055C	17	LGE1
YPL139C	YPL139C	17	UME1
YPL181W	YPL181W	17	CTI6
YAL002W	YAL002W	16	VPS8
YAL023C	YAL023C	16	PMT2
YBL101C	YBL101C	16	ECM21
YBR015C	YBR015C	16	MNN2
YBR078W	YBR078W	16	ECM33
YBR171W	YBR171W	16	SEC66
YBR229C	YBR229C	16	ROT2
YBR280C	YBR280C	16	SAF1
YCR017C	YCR017C	16	CWH43
YDL095W	YDL095W	16	PMT1
YDL203C	YDL203C	16	ACK1
YDR126W	YDR126W	16	SWF1
YDR245W	YDR245W	16	MNN10
YDR389W	YDR389W	16	SAC7
YDR414C	YDR414C	16	ERD1
YER139C	YER139C	16	RTR1
YER149C	YER149C	16	PEA2
YFL023W	YFL023W	16	BUD27
YGL027C	YGL027C	16	CWH41
YGL084C	YGL084C	16	GUP1
YGL167C	YGL167C	16	PMR1
YGL168W	YGL168W	16	HUR1
YJL062W	YJL062W	16	LAS21
YJL183W	YJL183W	16	MNN11
YJR075W	YJR075W	16	HOC1
YKL009W	YKL009W	16	MRT4
YKL140W	YKL140W	16	TGL1
YKR100C	YKR100C	16	SKG1
YLR087C	YLR087C	16	CSF1
YML097C	YML097C	16	VPS9
YMR285C	YMR285C	16	NGL2
YMR307W	YMR307W	16	GAS1
YOR089C	YOR089C	16	VPS21
YPL089C	YPL089C	16	RLM1
YPL161C	YPL161C	16	BEM4
YPR022C	YPR022C	16	YPR022C
YPR032W	YPR032W	16	SRO7
YAL011W	YAL011W	15	SWC3
YBL021C	YBL021C	15	HAP3
YBL058W	YBL058W	15	SHP1
YBR009C	YBR009C	15	HHF1
YBR201W	YBR201W	15	DER1
YBR231C	YBR231C	15	SWC5
YBR245C	YBR245C	15	ISW1
YCL016C	YCL016C	15	DCC1
YCR082W	YCR082W	15	AHC2
YDR014W	YDR014W	15	RAD61
YDR159W	YDR159W	15	SAC3
YDR334W	YDR334W	15	SWR1
YDR485C	YDR485C	15	VPS72
YDR532C	YDR532C	15	KRE28
