GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
histone modification	1	55	3123	114	0.0176112712135767	0.482456140350877	0.000154484835206813
protein modification by small protein conjugation or removal	1	79	3123	170	0.0252961895613192	0.464705882352941	0.000148801115066584
response to heat	1	31	3123	71	0.00992635286583413	0.436619718309859	0.000139807786842734
protein dephosphorylation	1	21	3123	49	0.00672430355427474	0.428571428571429	0.000137230684781117
chromatin organization	1	131	3123	318	0.0419468459814281	0.411949685534591	0.000131908320696315
regulation of DNA metabolic process	1	43	3123	106	0.0137688120397054	0.405660377358491	0.000129894453204768
regulation of cell cycle	1	85	3123	213	0.0272174191482549	0.39906103286385	0.000127781310555187
pseudohyphal growth	1	29	3123	74	0.00928594300352226	0.391891891891892	0.000125485716263814
DNA-templated transcription, elongation	1	37	3123	96	0.0118475824527698	0.385416666666667	0.000123412317216352
invasive growth in response to glucose limitation	1	22	3123	59	0.00704450848543068	0.372881355932203	0.000119398448905605
peptidyl-amino acid modification	1	55	3123	151	0.0176112712135767	0.364238410596026	0.00011663093518925
protein acylation	1	24	3123	66	0.00768491834774256	0.363636363636364	0.000116438156783978
mitotic cell cycle	1	116	3123	328	0.037143772014089	0.353658536585366	0.000113243207360027
organelle fission	1	104	3123	296	0.0333013128402177	0.351351351351351	0.000112504435271006
response to osmotic stress	1	32	3123	92	0.0102465577969901	0.347826086956522	0.000111375628228153
regulation of protein modification process	1	38	3123	110	0.0121677873839257	0.345454545454545	0.000110616248944779
regulation of organelle organization	1	82	3123	239	0.0262568043547871	0.343096234309623	0.000109861106086975
protein alkylation	1	17	3123	50	0.00544348382965098	0.34	0.00010886967659302
protein glycosylation	1	21	3123	62	0.00672430355427474	0.338709677419355	0.000108456508939915
transcription from RNA polymerase I promoter	1	22	3123	68	0.00704450848543068	0.323529411764706	0.000103595713021039
peroxisome organization	1	16	3123	50	0.00512327889849504	0.32	0.000102465577969901
protein phosphorylation	1	63	3123	197	0.0201729106628242	0.319796954314721	0.000102400561740224
cell budding	1	18	3123	58	0.00576368876080692	0.310344827586207	9.93739441518434e-05
cell morphogenesis	1	9	3123	29	0.00288184438040346	0.310344827586207	9.93739441518434e-05
DNA replication	1	43	3123	139	0.0137688120397054	0.309352517985612	9.90562017244994e-05
chromosome segregation	1	61	3123	198	0.0195325008005123	0.308080808080808	9.86489939419814e-05
nucleus organization	1	20	3123	66	0.0064040986231188	0.303030303030303	9.70317973199818e-05
transcription from RNA polymerase II promoter	1	145	3123	480	0.0464297150176113	0.302083333333333	9.67285729533568e-05
cellular response to DNA damage stimulus	1	88	3123	299	0.0281780339417227	0.294314381270903	9.42409161930525e-05
cytoskeleton organization	1	68	3123	232	0.0217739353186039	0.293103448275862	9.3853169476741e-05
DNA repair	1	72	3123	246	0.0230547550432277	0.292682926829268	9.37185164358848e-05
RNA catabolic process	1	38	3123	132	0.0121677873839257	0.287878787878788	9.21802074539827e-05
protein targeting	1	88	3123	309	0.0281780339417227	0.284789644012945	9.11910483550897e-05
endosomal transport	1	29	3123	102	0.00928594300352226	0.284313725490196	9.1038656897277e-05
nuclear transport	1	49	3123	176	0.015690041626641	0.278409090909091	8.91479637877332e-05
Golgi vesicle transport	1	51	3123	190	0.0163304514889529	0.268421052631579	8.59497446786996e-05
organelle inheritance	1	16	3123	60	0.00512327889849504	0.266666666666667	8.5387981641584e-05
meiotic cell cycle	1	76	3123	287	0.0243355747678514	0.264808362369338	8.4792943441991e-05
protein folding	1	25	3123	95	0.0080051232788985	0.263157894736842	8.42644555673526e-05
cytokinesis	1	23	3123	88	0.00736471341658662	0.261363636363636	8.36899251884843e-05
nucleobase-containing compound transport	1	36	3123	138	0.0115273775216138	0.260869565217391	8.35317211711147e-05
proteolysis involved in cellular protein catabolic process	1	56	3123	216	0.0179314761447326	0.259259259259259	8.30160932626511e-05
telomere organization	1	20	3123	78	0.0064040986231188	0.256410256410256	8.2103828501523e-05
DNA-templated transcription, termination	1	11	3123	43	0.00352225424271534	0.255813953488372	8.1912889365473e-05
DNA recombination	1	45	3123	179	0.0144092219020173	0.251396648044693	8.04984463799849e-05
conjugation	1	31	3123	124	0.00992635286583413	0.25	8.00512327889849e-05
protein maturation	1	13	3123	52	0.00416266410502722	0.25	8.00512327889849e-05
regulation of transport	1	21	3123	84	0.00672430355427474	0.25	8.00512327889849e-05
tRNA processing	1	27	3123	109	0.00864553314121038	0.247706422018349	7.93168178092695e-05
endocytosis	1	24	3123	98	0.00768491834774256	0.244897959183673	7.84175341606383e-05
transcription from RNA polymerase III promoter	1	10	3123	41	0.0032020493115594	0.24390243902439	7.80987636965707e-05
exocytosis	1	11	3123	49	0.00352225424271534	0.224489795918367	7.18827396472518e-05
oligosaccharide metabolic process	1	7	3123	32	0.00224143451809158	0.21875	7.00448286903618e-05
cell wall organization or biogenesis	1	43	3123	198	0.0137688120397054	0.217171717171717	6.95394547459869e-05
response to starvation	1	12	3123	56	0.00384245917387128	0.214285714285714	6.86153423905585e-05
vacuole organization	1	18	3123	84	0.00576368876080692	0.214285714285714	6.86153423905585e-05
lipid metabolic process	1	61	3123	287	0.0195325008005123	0.212543554006969	6.80574940784402e-05
regulation of translation	1	22	3123	105	0.00704450848543068	0.20952380952381	6.70905570041017e-05
vesicle organization	1	16	3123	81	0.00512327889849504	0.197530864197531	6.32503567715437e-05
sporulation	1	27	3123	138	0.00864553314121038	0.195652173913043	6.2648790878336e-05
organelle assembly	1	25	3123	131	0.0080051232788985	0.190839694656489	6.11078112893015e-05
transposition	1	4	3123	21	0.00128081972462376	0.19047619047619	6.09914154582742e-05
carbohydrate metabolic process	1	38	3123	200	0.0121677873839257	0.19	6.08389369196286e-05
carbohydrate transport	1	6	3123	33	0.00192122958693564	0.181818181818182	5.82190783919891e-05
cytoplasmic translation	1	32	3123	179	0.0102465577969901	0.17877094972067	5.72433396479892e-05
cellular ion homeostasis	1	22	3123	125	0.00704450848543068	0.176	5.63560678834454e-05
response to oxidative stress	1	17	3123	103	0.00544348382965098	0.16504854368932	5.2849357569427e-05
ribosomal large subunit biogenesis	1	17	3123	104	0.00544348382965098	0.163461538461538	5.23411906697209e-05
RNA modification	1	28	3123	172	0.00896573807236632	0.162790697674419	5.21263841416646e-05
