ORF	cluster	gene_name
YAL020C	ribosome	ATS1
YAL026C	ribosome	DRS2
YBL024W	ribosome	NCL1
YBL027W	ribosome	RPL19B
YBL072C	ribosome	RPS8A
YBL087C	ribosome	RPL23A
YBR022W	ribosome	POA1
YBR031W	ribosome	RPL4A
YBR181C	ribosome	RPS6B
YCL037C	ribosome	SRO9
YCR031C	ribosome	RPS14A
YDL006W	ribosome	PTC1
YDL033C	ribosome	SLM3
YDL061C	ribosome	RPS29B
YDL082W	ribosome	RPL13A
YDL083C	ribosome	RPS16B
YDL130W	ribosome	RPP1B
YDL134C	ribosome	PPH21
YDL136W	ribosome	RPL35B
YDL175C	ribosome	AIR2
YDL191W	ribosome	RPL35A
YDL213C	ribosome	NOP6
YDL224C	ribosome	WHI4
YDR025W	ribosome	RPS11A
YDR083W	ribosome	RRP8
YDR101C	ribosome	ARX1
YDR159W	ribosome	SAC3
YDR293C	ribosome	SSD1
YDR378C	ribosome	LSM6
YDR477W	ribosome	SNF1
YDR496C	ribosome	PUF6
YEL043W	ribosome	YEL043W
YEL047C	ribosome	FRD1
YER002W	ribosome	NOP16
YFL001W	ribosome	DEG1
YFL023W	ribosome	BUD27
YFR009W	ribosome	GCN20
YFR031C-A	ribosome	RPL2A
YGL014W	ribosome	PUF4
YGL029W	ribosome	CGR1
YGL031C	ribosome	RPL24A
YGL049C	ribosome	TIF4632
YGL078C	ribosome	DBP3
YGL105W	ribosome	ARC1
YGL147C	ribosome	RPL9A
YGL173C	ribosome	XRN1
YGL195W	ribosome	GCN1
YGL211W	ribosome	NCS6
YGL244W	ribosome	RTF1
YGR054W	ribosome	YGR054W
YGR081C	ribosome	SLX9
YGR085C	ribosome	RPL11B
YGR178C	ribosome	PBP1
YGR200C	ribosome	ELP2
YGR214W	ribosome	RPS0A
YHL025W	ribosome	SNF6
YHL033C	ribosome	RPL8A
YHR021C	ribosome	RPS27B
YHR034C	ribosome	PIH1
YHR066W	ribosome	SSF1
YHR081W	ribosome	LRP1
YHR111W	ribosome	UBA4
YHR187W	ribosome	IKI1
YHR189W	ribosome	PTH1
YHR203C	ribosome	RPS4B
YIL008W	ribosome	URM1
YIL052C	ribosome	RPL34B
YIL133C	ribosome	RPL16A
YIR003W	ribosome	AIM21
YJL098W	ribosome	SAP185
YJL136C	ribosome	RPS21B
YJL138C	ribosome	TIF2
YJL140W	ribosome	RPB4
YJL177W	ribosome	RPL17B
YJR066W	ribosome	TOR1
YJR145C	ribosome	RPS4A
YKL009W	ribosome	MRT4
YKL081W	ribosome	TEF4
YKL110C	ribosome	KTI12
YKL139W	ribosome	CTK1
YKL204W	ribosome	EAP1
