GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
tRNA processing	16	5	80	109	0.0625	0.0458715596330275	0.000573394495412844
RNA catabolic process	16	6	80	132	0.075	0.0454545454545455	0.000568181818181818
RNA modification	16	5	80	172	0.0625	0.0290697674418605	0.000363372093023256
amino acid transport	16	1	80	40	0.0125	0.025	0.0003125
transcription from RNA polymerase III promoter	16	1	80	41	0.0125	0.024390243902439	0.000304878048780488
DNA-templated transcription, termination	16	1	80	43	0.0125	0.0232558139534884	0.000290697674418605
DNA replication	16	3	80	139	0.0375	0.0215827338129496	0.00026978417266187
DNA-templated transcription, elongation	16	2	80	96	0.025	0.0208333333333333	0.000260416666666667
regulation of DNA metabolic process	16	2	80	106	0.025	0.0188679245283019	0.000235849056603774
proteolysis involved in cellular protein catabolic process	16	4	80	216	0.05	0.0185185185185185	0.000231481481481481
response to starvation	16	1	80	56	0.0125	0.0178571428571429	0.000223214285714286
protein modification by small protein conjugation or removal	16	3	80	170	0.0375	0.0176470588235294	0.000220588235294118
cell budding	16	1	80	58	0.0125	0.0172413793103448	0.00021551724137931
translational initiation	16	1	80	61	0.0125	0.0163934426229508	0.000204918032786885
protein glycosylation	16	1	80	62	0.0125	0.0161290322580645	0.000201612903225806
telomere organization	16	1	80	78	0.0125	0.0128205128205128	0.00016025641025641
chromatin organization	16	4	80	318	0.05	0.0125786163522013	0.000157232704402516
ion transport	16	2	80	162	0.025	0.0123456790123457	0.000154320987654321
vesicle organization	16	1	80	81	0.0125	0.0123456790123457	0.000154320987654321
regulation of transport	16	1	80	84	0.0125	0.0119047619047619	0.000148809523809524
cytokinesis	16	1	80	88	0.0125	0.0113636363636364	0.000142045454545455
cofactor metabolic process	16	2	80	178	0.025	0.0112359550561798	0.000140449438202247
response to osmotic stress	16	1	80	92	0.0125	0.0108695652173913	0.000135869565217391
transcription from RNA polymerase II promoter	16	5	80	480	0.0625	0.0104166666666667	0.000130208333333333
endocytosis	16	1	80	98	0.0125	0.0102040816326531	0.000127551020408163
endosomal transport	16	1	80	102	0.0125	0.00980392156862745	0.000122549019607843
regulation of translation	16	1	80	105	0.0125	0.00952380952380952	0.000119047619047619
regulation of protein modification process	16	1	80	110	0.0125	0.00909090909090909	0.000113636363636364
conjugation	16	1	80	124	0.0125	0.00806451612903226	0.000100806451612903
monocarboxylic acid metabolic process	16	1	80	127	0.0125	0.0078740157480315	9.84251968503937e-05
nucleobase-containing compound transport	16	1	80	138	0.0125	0.0072463768115942	9.05797101449275e-05
sporulation	16	1	80	138	0.0125	0.0072463768115942	9.05797101449275e-05
peptidyl-amino acid modification	16	1	80	151	0.0125	0.00662251655629139	8.27814569536424e-05
cellular amino acid metabolic process	16	1	80	153	0.0125	0.0065359477124183	8.16993464052288e-05
generation of precursor metabolites and energy	16	1	80	155	0.0125	0.00645161290322581	8.06451612903226e-05
mitotic cell cycle	16	2	80	328	0.025	0.00609756097560976	7.6219512195122e-05
DNA recombination	16	1	80	179	0.0125	0.00558659217877095	6.98324022346369e-05
cell wall organization or biogenesis	16	1	80	198	0.0125	0.00505050505050505	6.31313131313131e-05
chromosome segregation	16	1	80	198	0.0125	0.00505050505050505	6.31313131313131e-05
nucleobase-containing small molecule metabolic process	16	1	80	198	0.0125	0.00505050505050505	6.31313131313131e-05
carbohydrate metabolic process	16	1	80	200	0.0125	0.005	6.25e-05
regulation of cell cycle	16	1	80	213	0.0125	0.00469483568075117	5.86854460093897e-05
transmembrane transport	16	1	80	232	0.0125	0.00431034482758621	5.38793103448276e-05
DNA repair	16	1	80	246	0.0125	0.0040650406504065	5.08130081300813e-05
meiotic cell cycle	16	1	80	287	0.0125	0.00348432055749129	4.35540069686411e-05
organelle fission	16	1	80	296	0.0125	0.00337837837837838	4.22297297297297e-05
cellular response to DNA damage stimulus	16	1	80	299	0.0125	0.00334448160535117	4.18060200668896e-05
translational elongation	16	1	80	334	0.0125	0.0029940119760479	3.74251497005988e-05
chromosome segregation	15	22	142	198	0.154929577464789	0.111111111111111	0.000782472613458529
mitotic cell cycle	15	26	142	328	0.183098591549296	0.0792682926829268	0.000558227413260048
organelle fission	15	23	142	296	0.161971830985915	0.0777027027027027	0.000547202131709174
nucleus organization	15	4	142	66	0.028169014084507	0.0606060606060606	0.000426803243704652
regulation of cell cycle	15	12	142	213	0.0845070422535211	0.0563380281690141	0.000396746677246578
regulation of organelle organization	15	13	142	239	0.0915492957746479	0.0543933054393305	0.000383051446755849
cytoskeleton organization	15	12	142	232	0.0845070422535211	0.0517241379310345	0.000364254492472074
