GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
exocytosis	17	3	105	49	0.0285714285714286	0.0612244897959184	0.000583090379008746
cell budding	17	3	105	58	0.0285714285714286	0.0517241379310345	0.000492610837438424
cell morphogenesis	17	1	105	29	0.00952380952380952	0.0344827586206897	0.000328407224958949
cytokinesis	17	3	105	88	0.0285714285714286	0.0340909090909091	0.000324675324675325
regulation of cell cycle	17	7	105	213	0.0666666666666667	0.0328638497652582	0.000312989045383412
response to osmotic stress	17	3	105	92	0.0285714285714286	0.0326086956521739	0.00031055900621118
DNA-templated transcription, elongation	17	3	105	96	0.0285714285714286	0.03125	0.000297619047619048
carbohydrate transport	17	1	105	33	0.00952380952380952	0.0303030303030303	0.000288600288600289
protein acylation	17	2	105	66	0.019047619047619	0.0303030303030303	0.000288600288600289
pseudohyphal growth	17	2	105	74	0.019047619047619	0.027027027027027	0.000257400257400257
transcription from RNA polymerase III promoter	17	1	105	41	0.00952380952380952	0.024390243902439	0.000232288037166086
DNA-templated transcription, termination	17	1	105	43	0.00952380952380952	0.0232558139534884	0.000221483942414175
protein lipidation	17	1	105	45	0.00952380952380952	0.0222222222222222	0.000211640211640212
cytoskeleton organization	17	5	105	232	0.0476190476190476	0.021551724137931	0.000205254515599343
mitotic cell cycle	17	7	105	328	0.0666666666666667	0.0213414634146341	0.000203252032520325
protein dephosphorylation	17	1	105	49	0.00952380952380952	0.0204081632653061	0.000194363459669582
ribosomal large subunit biogenesis	17	2	105	104	0.019047619047619	0.0192307692307692	0.000183150183150183
regulation of DNA metabolic process	17	2	105	106	0.019047619047619	0.0188679245283019	0.000179694519317161
ribosome assembly	17	1	105	59	0.00952380952380952	0.0169491525423729	0.000161420500403551
regulation of organelle organization	17	4	105	239	0.0380952380952381	0.0167364016736402	0.000159394301653716
conjugation	17	2	105	124	0.019047619047619	0.0161290322580645	0.000153609831029186
RNA catabolic process	17	2	105	132	0.019047619047619	0.0151515151515152	0.000144300144300144
sporulation	17	2	105	138	0.019047619047619	0.0144927536231884	0.000138026224982747
DNA replication	17	2	105	139	0.019047619047619	0.0143884892086331	0.00013703323055841
DNA-templated transcription, initiation	17	1	105	71	0.00952380952380952	0.0140845070422535	0.000134138162307176
membrane fusion	17	1	105	75	0.00952380952380952	0.0133333333333333	0.000126984126984127
peptidyl-amino acid modification	17	2	105	151	0.019047619047619	0.0132450331125828	0.000126143172500788
chromatin organization	17	4	105	318	0.0380952380952381	0.0125786163522013	0.000119796346211441
regulation of transport	17	1	105	84	0.00952380952380952	0.0119047619047619	0.000113378684807256
vacuole organization	17	1	105	84	0.00952380952380952	0.0119047619047619	0.000113378684807256
protein modification by small protein conjugation or removal	17	2	105	170	0.019047619047619	0.0117647058823529	0.000112044817927171
organelle fusion	17	1	105	88	0.00952380952380952	0.0113636363636364	0.000108225108225108
cytoplasmic translation	17	2	105	179	0.019047619047619	0.0111731843575419	0.000106411279595637
endocytosis	17	1	105	98	0.00952380952380952	0.0102040816326531	9.71817298347911e-05
protein phosphorylation	17	2	105	197	0.019047619047619	0.0101522842639594	9.6688421561518e-05
cell wall organization or biogenesis	17	2	105	198	0.019047619047619	0.0101010101010101	9.62000962000962e-05
chromosome segregation	17	2	105	198	0.019047619047619	0.0101010101010101	9.62000962000962e-05
regulation of translation	17	1	105	105	0.00952380952380952	0.00952380952380952	9.0702947845805e-05
tRNA processing	17	1	105	109	0.00952380952380952	0.00917431192660551	8.73743993010048e-05
regulation of protein modification process	17	1	105	110	0.00952380952380952	0.00909090909090909	8.65800865800866e-05
histone modification	17	1	105	114	0.00952380952380952	0.0087719298245614	8.35421888053467e-05
transcription from RNA polymerase II promoter	17	4	105	480	0.0380952380952381	0.00833333333333333	7.93650793650794e-05
organelle assembly	17	1	105	131	0.00952380952380952	0.00763358778625954	7.27008360596147e-05
meiotic cell cycle	17	2	105	287	0.019047619047619	0.00696864111498258	6.63680106188817e-05
RNA splicing	17	1	105	144	0.00952380952380952	0.00694444444444444	6.61375661375661e-05
organelle fission	17	2	105	296	0.019047619047619	0.00675675675675676	6.43500643500643e-05
mRNA processing	17	1	105	170	0.00952380952380952	0.00588235294117647	5.60224089635854e-05
RNA modification	17	1	105	172	0.00952380952380952	0.00581395348837209	5.53709856035437e-05
Golgi vesicle transport	17	1	105	190	0.00952380952380952	0.00526315789473684	5.0125313283208e-05
nucleobase-containing small molecule metabolic process	17	1	105	198	0.00952380952380952	0.00505050505050505	4.81000481000481e-05
proteolysis involved in cellular protein catabolic process	17	1	105	216	0.00952380952380952	0.00462962962962963	4.40917107583774e-05
DNA repair	17	1	105	246	0.00952380952380952	0.0040650406504065	3.87146728610143e-05
lipid metabolic process	17	1	105	287	0.00952380952380952	0.00348432055749129	3.31840053094408e-05
cellular response to DNA damage stimulus	17	1	105	299	0.00952380952380952	0.00334448160535117	3.18522057652492e-05
carbohydrate transport	16	2	69	33	0.0289855072463768	0.0606060606060606	0.000878348704435661
protein glycosylation	16	2	69	62	0.0289855072463768	0.032258064516129	0.000467508181393174
transcription from RNA polymerase III promoter	16	1	69	41	0.0144927536231884	0.024390243902439	0.000353481795687522
exocytosis	16	1	69	49	0.0144927536231884	0.0204081632653061	0.000295770482105886
protein dephosphorylation	16	1	69	49	0.0144927536231884	0.0204081632653061	0.000295770482105886
histone modification	16	2	69	114	0.0289855072463768	0.0175438596491228	0.000254258835494533
cell budding	16	1	69	58	0.0144927536231884	0.0172413793103448	0.000249875062468766
translational initiation	16	1	69	61	0.0144927536231884	0.0163934426229508	0.000237586124970302
regulation of organelle organization	16	3	69	239	0.0434782608695652	0.0125523012552301	0.000181917409496089
protein modification by small protein conjugation or removal	16	2	69	170	0.0289855072463768	0.0117647058823529	0.000170502983802217
cytokinesis	16	1	69	88	0.0144927536231884	0.0113636363636364	0.000164690382081686
cofactor metabolic process	16	2	69	178	0.0289855072463768	0.0112359550561798	0.000162839928350432
response to osmotic stress	16	1	69	92	0.0144927536231884	0.0108695652173913	0.000157529930686831
Golgi vesicle transport	16	2	69	190	0.0289855072463768	0.0105263157894737	0.00015255530129672
protein folding	16	1	69	95	0.0144927536231884	0.0105263157894737	0.00015255530129672
DNA-templated transcription, elongation	16	1	69	96	0.0144927536231884	0.0104166666666667	0.000150966183574879
transcription from RNA polymerase II promoter	16	5	69	480	0.072463768115942	0.0104166666666667	0.000150966183574879
endocytosis	16	1	69	98	0.0144927536231884	0.0102040816326531	0.000147885241052943
cell wall organization or biogenesis	16	2	69	198	0.0289855072463768	0.0101010101010101	0.000146391450739277
carbohydrate metabolic process	16	2	69	200	0.0289855072463768	0.01	0.000144927536231884
response to oxidative stress	16	1	69	103	0.0144927536231884	0.00970873786407767	0.000140706345856198
regulation of translation	16	1	69	105	0.0144927536231884	0.00952380952380952	0.000138026224982747
chromatin organization	16	3	69	318	0.0434782608695652	0.00943396226415094	0.000136724090784796
regulation of DNA metabolic process	16	1	69	106	0.0144927536231884	0.00943396226415094	0.000136724090784796
proteolysis involved in cellular protein catabolic process	16	2	69	216	0.0289855072463768	0.00925925925925926	0.00013419216317767
cytoskeleton organization	16	2	69	232	0.0289855072463768	0.00862068965517241	0.000124937531234383
cellular ion homeostasis	16	1	69	125	0.0144927536231884	0.008	0.000115942028985507
monocarboxylic acid metabolic process	16	1	69	127	0.0144927536231884	0.0078740157480315	0.000114116170261326
organelle assembly	16	1	69	131	0.0144927536231884	0.00763358778625954	0.00011063170704724
RNA catabolic process	16	1	69	132	0.0144927536231884	0.00757575757575758	0.000109793588054458
ribosomal small subunit biogenesis	16	1	69	135	0.0144927536231884	0.00740740740740741	0.000107353730542136
sporulation	16	1	69	138	0.0144927536231884	0.0072463768115942	0.00010501995379122
DNA replication	16	1	69	139	0.0144927536231884	0.00719424460431655	0.000104264414555312
meiotic cell cycle	16	2	69	287	0.0289855072463768	0.00696864111498258	0.000100994798767863
cellular amino acid metabolic process	16	1	69	153	0.0144927536231884	0.0065359477124183	9.47238798901203e-05
protein targeting	16	2	69	309	0.0289855072463768	0.00647249190938511	9.38042305707987e-05
generation of precursor metabolites and energy	16	1	69	155	0.0144927536231884	0.00645161290322581	9.35016362786349e-05
ion transport	16	1	69	162	0.0144927536231884	0.00617283950617284	8.94614421184469e-05
mitotic cell cycle	16	2	69	328	0.0289855072463768	0.00609756097560976	8.83704489218805e-05
DNA recombination	16	1	69	179	0.0144927536231884	0.00558659217877095	8.09651040401587e-05
protein phosphorylation	16	1	69	197	0.0144927536231884	0.0050761421319797	7.35672772750681e-05
nucleobase-containing small molecule metabolic process	16	1	69	198	0.0144927536231884	0.00505050505050505	7.31957253696384e-05
regulation of cell cycle	16	1	69	213	0.0144927536231884	0.00469483568075117	6.80410968224808e-05
DNA repair	16	1	69	246	0.0144927536231884	0.0040650406504065	5.8913632614587e-05
lipid metabolic process	16	1	69	287	0.0144927536231884	0.00348432055749129	5.04973993839317e-05
organelle fission	16	1	69	296	0.0144927536231884	0.00337837837837838	4.89620054837446e-05
cellular response to DNA damage stimulus	16	1	69	299	0.0144927536231884	0.00334448160535117	4.84707479036402e-05
translational elongation	16	1	69	334	0.0144927536231884	0.0029940119760479	4.33914779137377e-05
ribosomal large subunit biogenesis	15	7	89	104	0.0786516853932584	0.0673076923076923	0.000756266205704408
ribosomal small subunit biogenesis	15	9	89	135	0.101123595505618	0.0666666666666667	0.000749063670411985
ribosome assembly	15	3	89	59	0.0337078651685393	0.0508474576271186	0.000571319748619311
rRNA processing	15	14	89	311	0.157303370786517	0.045016077170418	0.000505798619892337
snoRNA processing	15	2	89	45	0.0224719101123595	0.0444444444444444	0.000499375780274657
ribosomal subunit export from nucleus	15	2	89	46	0.0224719101123595	0.0434782608695652	0.000488519785051295
cytoplasmic translation	15	7	89	179	0.0786516853932584	0.0391061452513966	0.000439394890465131
cell morphogenesis	15	1	89	29	0.0112359550561798	0.0344827586206897	0.000387446726075165
organelle assembly	15	4	89	131	0.0449438202247191	0.0305343511450382	0.00034308259713526
amino acid transport	15	1	89	40	0.0112359550561798	0.025	0.000280898876404494
protein alkylation	15	1	89	50	0.0112359550561798	0.02	0.000224719101123596
invasive growth in response to glucose limitation	15	1	89	59	0.0112359550561798	0.0169491525423729	0.000190439916206437
