cluster	query_uniq1	query_ORF1
all_queries	AAC1_dma3665	YMR056C
all_queries_30_8	AAC1_dma3665	YMR056C
cellular respiration	AAC1_dma3665	YMR056C
cofactor metabolic process	AAC1_dma3665	YMR056C
cofactor metabolic process_GO_30_1	AAC1_dma3665	YMR056C
generation of precursor metabolites and energy	AAC1_dma3665	YMR056C
generation of precursor metabolites and energy_GO_30_1	AAC1_dma3665	YMR056C
metabolic	AAC1_dma3665	YMR056C
metabolic_GO_30_8	AAC1_dma3665	YMR056C
mitochondria and respiration	AAC1_dma3665	YMR056C
mitochondria and respiration_GO_30_21	AAC1_dma3665	YMR056C
mitochondrial envelope	AAC1_dma3665	YMR056C
mitochondrial envelope_GO_30_3	AAC1_dma3665	YMR056C
mitochondrion	AAC1_dma3665	YMR056C
mitochondrion_GO_30_4	AAC1_dma3665	YMR056C
transmembrane transporter activity	AAC1_dma3665	YMR056C
transmembrane transporter activity_GO_30_7	AAC1_dma3665	YMR056C
all_queries	AAC1_sn2462	YMR056C
all_queries_30_8	AAC1_sn2462	YMR056C
cellular respiration	AAC1_sn2462	YMR056C
cellular respiration_GO_30_1	AAC1_sn2462	YMR056C
cofactor metabolic process	AAC1_sn2462	YMR056C
cofactor metabolic process_GO_30_2	AAC1_sn2462	YMR056C
generation of precursor metabolites and energy	AAC1_sn2462	YMR056C
generation of precursor metabolites and energy_GO_30_1	AAC1_sn2462	YMR056C
metabolic	AAC1_sn2462	YMR056C
metabolic_GO_30_8	AAC1_sn2462	YMR056C
mitochondria and respiration	AAC1_sn2462	YMR056C
mitochondria and respiration_GO_30_1	AAC1_sn2462	YMR056C
mitochondrial envelope	AAC1_sn2462	YMR056C
mitochondrial envelope_GO_30_3	AAC1_sn2462	YMR056C
mitochondrion	AAC1_sn2462	YMR056C
mitochondrion_GO_30_5	AAC1_sn2462	YMR056C
transmembrane transporter activity	AAC1_sn2462	YMR056C
transmembrane transporter activity_GO_30_4	AAC1_sn2462	YMR056C
all_queries	AAC3_dma5239	YBR085W
all_queries_30_15	AAC3_dma5239	YBR085W
cellular respiration	AAC3_dma5239	YBR085W
generation of precursor metabolites and energy	AAC3_dma5239	YBR085W
generation of precursor metabolites and energy_GO_30_2	AAC3_dma5239	YBR085W
metabolic	AAC3_dma5239	YBR085W
metabolic_GO_30_15	AAC3_dma5239	YBR085W
mitochondria and respiration	AAC3_dma5239	YBR085W
mitochondria and respiration_GO_30_16	AAC3_dma5239	YBR085W
mitochondrial envelope	AAC3_dma5239	YBR085W
mitochondrial envelope_GO_30_4	AAC3_dma5239	YBR085W
mitochondrion	AAC3_dma5239	YBR085W
mitochondrion_GO_30_6	AAC3_dma5239	YBR085W
transmembrane transport	AAC3_dma5239	YBR085W
transmembrane transport_GO_30_3	AAC3_dma5239	YBR085W
transmembrane transporter activity	AAC3_dma5239	YBR085W
transmembrane transporter activity_GO_30_6	AAC3_dma5239	YBR085W
all_queries	AAC3_sn2491	YBR085W
all_queries_30_1	AAC3_sn2491	YBR085W
cellular respiration	AAC3_sn2491	YBR085W
cellular respiration_GO_30_1	AAC3_sn2491	YBR085W
generation of precursor metabolites and energy	AAC3_sn2491	YBR085W
generation of precursor metabolites and energy_GO_30_2	AAC3_sn2491	YBR085W
metabolic	AAC3_sn2491	YBR085W
metabolic_GO_30_1	AAC3_sn2491	YBR085W
mitochondria and respiration	AAC3_sn2491	YBR085W
mitochondria and respiration_GO_30_8	AAC3_sn2491	YBR085W
mitochondrial envelope	AAC3_sn2491	YBR085W
mitochondrial envelope_GO_30_4	AAC3_sn2491	YBR085W
mitochondrion	AAC3_sn2491	YBR085W
mitochondrion_GO_30_13	AAC3_sn2491	YBR085W
transmembrane transport	AAC3_sn2491	YBR085W
transmembrane transport_GO_30_3	AAC3_sn2491	YBR085W
transmembrane transporter activity	AAC3_sn2491	YBR085W
transmembrane transporter activity_GO_30_3	AAC3_sn2491	YBR085W
all_queries	AAD15_sn2743	YOL165C
all_queries	AAD3_dma5251	YCR107W
all_queries	AAD3_sn2745	YCR107W
all_queries	AAD4_dma818	YDL243C
all_queries	AAD4_sn2746	YDL243C
all_queries	AAH1_dma4038	YNL141W
all_queries_30_9	AAH1_dma4038	YNL141W
metabolic	AAH1_dma4038	YNL141W
metabolic_GO_30_9	AAH1_dma4038	YNL141W
nucleobase-containing small molecule metabolic process	AAH1_dma4038	YNL141W
nucleobase-containing small molecule metabolic process_GO_30_1	AAH1_dma4038	YNL141W
all_queries	AAP1_sn2947	YHR047C
all_queries_30_12	AAP1_sn2947	YHR047C
carbohydrate metabolic process	AAP1_sn2947	YHR047C
carbohydrate metabolic process_GO_30_1	AAP1_sn2947	YHR047C
generation of precursor metabolites and energy	AAP1_sn2947	YHR047C
generation of precursor metabolites and energy_GO_30_1	AAP1_sn2947	YHR047C
metabolic	AAP1_sn2947	YHR047C
metabolic_GO_30_12	AAP1_sn2947	YHR047C
all_queries	AAR2_tsa1108	YBL074C
mRNA processing	AAR2_tsa1108	YBL074C
mRNA processing_GO_30_3	AAR2_tsa1108	YBL074C
RNA processing	AAR2_tsa1108	YBL074C
RNA processing_GO_30_3	AAR2_tsa1108	YBL074C
RNA splicing	AAR2_tsa1108	YBL074C
RNA splicing_GO_30_3	AAR2_tsa1108	YBL074C
transcription and mRNA processing	AAR2_tsa1108	YBL074C
transcription and mRNA processing_GO_30_3	AAR2_tsa1108	YBL074C
all_queries	AAR2_tsq1352	YBL074C
mRNA processing	AAR2_tsq1352	YBL074C
mRNA processing_GO_30_1	AAR2_tsq1352	YBL074C
RNA processing	AAR2_tsq1352	YBL074C
RNA processing_GO_30_4	AAR2_tsq1352	YBL074C
RNA splicing	AAR2_tsq1352	YBL074C
RNA splicing_GO_30_1	AAR2_tsq1352	YBL074C
transcription and mRNA processing	AAR2_tsq1352	YBL074C
transcription and mRNA processing_GO_30_6	AAR2_tsq1352	YBL074C
all_queries	AAT1_dma2843	YKL106W
all_queries_30_10	AAT1_dma2843	YKL106W
cellular amino acid metabolic process	AAT1_dma2843	YKL106W
cellular amino acid metabolic process_GO_30_2	AAT1_dma2843	YKL106W
metabolic	AAT1_dma2843	YKL106W
metabolic_GO_30_10	AAT1_dma2843	YKL106W
mitochondria and respiration	AAT1_dma2843	YKL106W
mitochondria and respiration_GO_30_9	AAT1_dma2843	YKL106W
mitochondrion	AAT1_dma2843	YKL106W
mitochondrion_GO_30_9	AAT1_dma2843	YKL106W
monocarboxylic acid metabolic process	AAT1_dma2843	YKL106W
monocarboxylic acid metabolic process_GO_30_2	AAT1_dma2843	YKL106W
all_queries	AAT1_sn4286	YKL106W
all_queries_30_7	AAT1_sn4286	YKL106W
cellular amino acid metabolic process	AAT1_sn4286	YKL106W
cellular amino acid metabolic process_GO_30_3	AAT1_sn4286	YKL106W
metabolic	AAT1_sn4286	YKL106W
metabolic_GO_30_7	AAT1_sn4286	YKL106W
mitochondria and respiration	AAT1_sn4286	YKL106W
mitochondria and respiration_GO_30_3	AAT1_sn4286	YKL106W
mitochondrion	AAT1_sn4286	YKL106W
mitochondrion_GO_30_15	AAT1_sn4286	YKL106W
monocarboxylic acid metabolic process	AAT1_sn4286	YKL106W
monocarboxylic acid metabolic process_GO_30_1	AAT1_sn4286	YKL106W
all_queries	AAT2_sn4401	YLR027C
all_queries_30_6	AAT2_sn4401	YLR027C
cellular amino acid metabolic process	AAT2_sn4401	YLR027C
cellular amino acid metabolic process_GO_30_5	AAT2_sn4401	YLR027C
metabolic	AAT2_sn4401	YLR027C
metabolic_GO_30_6	AAT2_sn4401	YLR027C
monocarboxylic acid metabolic process	AAT2_sn4401	YLR027C
monocarboxylic acid metabolic process_GO_30_3	AAT2_sn4401	YLR027C
peroxisome	AAT2_sn4401	YLR027C
peroxisome_GO_30_1	AAT2_sn4401	YLR027C
peroxisomes	AAT2_sn4401	YLR027C
peroxisomes_GO_30_1	AAT2_sn4401	YLR027C
all_queries	ABD1_tsq357	YBR236C
mRNA processing	ABD1_tsq357	YBR236C
mRNA processing_GO_30_3	ABD1_tsq357	YBR236C
RNA processing	ABD1_tsq357	YBR236C
RNA processing_GO_30_3	ABD1_tsq357	YBR236C
transcription and mRNA processing	ABD1_tsq357	YBR236C
transcription and mRNA processing_GO_30_14	ABD1_tsq357	YBR236C
all_queries	ABD1_tsq78	YBR236C
mRNA processing	ABD1_tsq78	YBR236C
mRNA processing_GO_30_2	ABD1_tsq78	YBR236C
RNA processing	ABD1_tsq78	YBR236C
RNA processing_GO_30_6	ABD1_tsq78	YBR236C
transcription and mRNA processing	ABD1_tsq78	YBR236C
transcription and mRNA processing_GO_30_12	ABD1_tsq78	YBR236C
all_queries	ABF1_tsa319	YKL112W
cellular response to DNA damage stimulus	ABF1_tsa319	YKL112W
cellular response to DNA damage stimulus_GO_30_5	ABF1_tsa319	YKL112W
chromatin	ABF1_tsa319	YKL112W
chromatin organization	ABF1_tsa319	YKL112W
chromatin organization_GO_30_2	ABF1_tsa319	YKL112W
chromatin_GO_30_8	ABF1_tsa319	YKL112W
DNA repair	ABF1_tsa319	YKL112W
DNA repair_GO_30_5	ABF1_tsa319	YKL112W
DNA replication	ABF1_tsa319	YKL112W
DNA replication_GO_30_3	ABF1_tsa319	YKL112W
nucleic acid binding transcription factor activity	ABF1_tsa319	YKL112W
nucleic acid binding transcription factor activity_GO_30_1	ABF1_tsa319	YKL112W
transcription	ABF1_tsa319	YKL112W
transcription and mRNA processing	ABF1_tsa319	YKL112W
transcription and mRNA processing_GO_30_27	ABF1_tsa319	YKL112W
transcription from RNA polymerase II promoter	ABF1_tsa319	YKL112W
transcription from RNA polymerase II promoter_GO_30_6	ABF1_tsa319	YKL112W
transcription_GO_30_12	ABF1_tsa319	YKL112W
all_queries	ABM1_dma2707	YJR108W
cytoskeleton and microtubules	ABM1_dma2707	YJR108W
cytoskeleton and microtubules_GO_30_10	ABM1_dma2707	YJR108W
cytoskeleton organization	ABM1_dma2707	YJR108W
cytoskeleton organization_GO_30_4	ABM1_dma2707	YJR108W
all_queries	ABP1_dma590	YCR088W
cell cortex	ABP1_dma590	YCR088W
cell cortex_GO_30_2	ABP1_dma590	YCR088W
cytoskeletal protein binding	ABP1_dma590	YCR088W
cytoskeletal protein binding_GO_30_1	ABP1_dma590	YCR088W
