cluster	Gene_uniq	Gene.gene_name
rRNA processing	YAL025C_DAMP	MAK16
rRNA processing	YBL072C	RPS8A
rRNA processing	YBR048W	RPS11B
rRNA processing	YBR181C	RPS6B
rRNA processing	YBR247C_TSQ542	ENP1
rRNA processing	YBR257W_DAMP	POP4
rRNA processing	YCR031C	RPS14A
rRNA processing	YDL083C	RPS16B
rRNA processing	YDL136W	RPL35B
rRNA processing	YDL191W	RPL35A
rRNA processing	YDL229W	SSB1
rRNA processing	YDR021W_DAMP	FAL1
rRNA processing	YDR083W	RRP8
rRNA processing	YDR087C_TSQ181	RRP1
rRNA processing	YDR117C	TMA64
rRNA processing	YDR378C	LSM6
rRNA processing	YDR457W	TOM1
rRNA processing	YDR500C	RPL37B
rRNA processing	YER006W_TSQ786	NUG1
rRNA processing	YER074W	RPS24A
rRNA processing	YER125W_DAmP	RSP5
rRNA processing	YER125W_TSQ465	RSP5
rRNA processing	YER133W_DAMP	GLC7
rRNA processing	YGL029W	CGR1
rRNA processing	YGL078C	DBP3
rRNA processing	YGL173C	XRN1
rRNA processing	YGR081C	SLX9
rRNA processing	YGR090W_DAMP	UTP22
rRNA processing	YGR118W	RPS23A
rRNA processing	YGR214W	RPS0A
rRNA processing	YGR276C	RNH70
rRNA processing	YGR285C	ZUO1
rRNA processing	YHL025W	SNF6
rRNA processing	YHL033C	RPL8A
rRNA processing	YHR021C	RPS27B
rRNA processing	YHR034C	PIH1
rRNA processing	YHR064C	SSZ1
rRNA processing	YHR066W	SSF1
rRNA processing	YHR081W	LRP1
rRNA processing	YHR088W_DAMP	RPF1
rRNA processing	YIL069C	RPS24B
rRNA processing	YIL096C	BMT5
rRNA processing	YJL050W_TSQ431	MTR4
rRNA processing	YJL136C	RPS21B
rRNA processing	YJL177W	RPL17B
rRNA processing	YJL191W	RPS14B
rRNA processing	YJR002W_DAMP	MPP10
rRNA processing	YKL009W	MRT4
rRNA processing	YKL078W_DAMP	DHR2
rRNA processing	YKL156W	RPS27A
rRNA processing	YKR024C	DBP7
rRNA processing	YKR057W	RPS21A
rRNA processing	YKR060W	UTP30
